ensg	enst	ensp	name
ENSMUSG00000045336	ENSMUST00000062085	ENSMUSP00000049715	Hsfy2
ENSMUSG00000015605	ENSMUST00000015749	ENSMUSP00000015749	Srf
ENSMUSG00000038331	ENSMUST00000042857	ENSMUSP00000046067	Satb2
ENSMUSG00000019768	ENSMUST00000149195		Esr1
ENSMUSG00000063488	ENSMUST00000215872	ENSMUSP00000150648	Zkscan7
ENSMUSG00000021144	ENSMUST00000009099	ENSMUSP00000009099	Mta1
ENSMUSG00000063047	ENSMUST00000205874	ENSMUSP00000145799	Zfp780b
ENSMUSG00000058794	ENSMUST00000075192	ENSMUSP00000074684	Nfe2
ENSMUSG00000057895	ENSMUST00000051667	ENSMUSP00000079840	Zfp105
ENSMUSG00000018168	ENSMUST00000103141	ENSMUSP00000099430	Ikzf3
ENSMUSG00000002147	ENSMUST00000092074	ENSMUSP00000089708	Stat6
ENSMUSG00000001288	ENSMUST00000043172	ENSMUSP00000048838	Rarg
ENSMUSG00000024050	ENSMUST00000170617	ENSMUSP00000130517	Wiz
ENSMUSG00000019256	ENSMUST00000116436	ENSMUSP00000112137	Ahr
ENSMUSG00000048938	ENSMUST00000058899	ENSMUSP00000052557	Nr1h5
ENSMUSG00000004934	ENSMUST00000005064	ENSMUSP00000005064	Pias4
ENSMUSG00000022895	ENSMUST00000023612	ENSMUSP00000023612	Ets2
ENSMUSG00000034673	ENSMUST00000173328	ENSMUSP00000133766	Pbx2
ENSMUSG00000020484	ENSMUST00000063084	ENSMUSP00000054852	Xbp1
ENSMUSG00000024206	ENSMUST00000086801	ENSMUSP00000084010	Rfx2
ENSMUSG00000031665	ENSMUST00000034090	ENSMUSP00000034090	Sall1
ENSMUSG00000024513	ENSMUST00000074058	ENSMUSP00000073701	Mbd2
ENSMUSG00000014039	ENSMUST00000121584	ENSMUSP00000113791	Prdm15
ENSMUSG00000004231	ENSMUST00000174490	ENSMUSP00000134661	Pax2
ENSMUSG00000026497	ENSMUST00000027778	ENSMUSP00000027778	Mixl1
ENSMUSG00000051176	ENSMUST00000211248	ENSMUSP00000147606	Zfp42
ENSMUSG00000019947	ENSMUST00000219238	ENSMUSP00000151227	Arid5b
ENSMUSG00000074862	ENSMUST00000126940		BC025920
ENSMUSG00000021255	ENSMUST00000116402	ENSMUSP00000112103	Esrrb
ENSMUSG00000013419	ENSMUST00000214732	ENSMUSP00000150384	Zfp651
ENSMUSG00000000093	ENSMUST00000000095	ENSMUSP00000000095	Tbx2
ENSMUSG00000030446	ENSMUST00000181391	ENSMUSP00000137903	Zfp273
ENSMUSG00000022361	ENSMUST00000175805	ENSMUSP00000134844	Zhx1
ENSMUSG00000024276	ENSMUST00000224107		Zfp397
ENSMUSG00000051034	ENSMUST00000049778	ENSMUSP00000051861	Zfp11
ENSMUSG00000071341	ENSMUST00000095759	ENSMUSP00000093433	Egr4
ENSMUSG00000049576	ENSMUST00000180673		Zfa-ps
ENSMUSG00000045251	ENSMUST00000136123		Zfp688
ENSMUSG00000069171	ENSMUST00000091458	ENSMUSP00000089036	Nr2f1
ENSMUSG00000022383	ENSMUST00000134880		Ppara
ENSMUSG00000056493	ENSMUST00000198422	ENSMUSP00000143450	Foxk1
ENSMUSG00000053080	ENSMUST00000159348	ENSMUSP00000123773	2700081O15Rik
ENSMUSG00000029563	ENSMUST00000151060		Foxp2
ENSMUSG00000024274	ENSMUST00000115829		Zscan30
ENSMUSG00000063281	ENSMUST00000074941	ENSMUSP00000074475	Zfp35
ENSMUSG00000062761	ENSMUST00000202061	ENSMUSP00000143978	Zfp512
ENSMUSG00000062327	ENSMUST00000074667	ENSMUSP00000074236	T
ENSMUSG00000000078	ENSMUST00000000080	ENSMUSP00000000080	Klf6
ENSMUSG00000031028	ENSMUST00000207583	ENSMUSP00000146894	Tub
ENSMUSG00000051469	ENSMUST00000066497	ENSMUSP00000064637	Zfp24
ENSMUSG00000012640	ENSMUST00000012796	ENSMUSP00000012796	Zfp715
ENSMUSG00000053211	ENSMUST00000189888	ENSMUSP00000140600	Zfy1
ENSMUSG00000031681	ENSMUST00000066091	ENSMUSP00000071035	Smad1
ENSMUSG00000028522	ENSMUST00000136092		Mier1
ENSMUSG00000049739	ENSMUST00000205364		Zfp646
ENSMUSG00000049728	ENSMUST00000054415	ENSMUSP00000056105	Zfp668
ENSMUSG00000057982	ENSMUST00000215902	ENSMUSP00000150580	Zfp809
ENSMUSG00000015522	ENSMUST00000147765		Arnt
ENSMUSG00000034429	ENSMUST00000109966	ENSMUSP00000105592	Zfp707
ENSMUSG00000038872	ENSMUST00000220518	ENSMUSP00000152353	Zfhx3
ENSMUSG00000040632	ENSMUST00000062232	ENSMUSP00000054457	Nrl
ENSMUSG00000043602	ENSMUST00000060444	ENSMUSP00000054020	Zfp3
ENSMUSG00000062794	ENSMUST00000086281	ENSMUSP00000083462	Zfp599
ENSMUSG00000030510	ENSMUST00000066475	ENSMUSP00000069238	Cers3
ENSMUSG00000005718	ENSMUST00000005862	ENSMUSP00000005862	Tfap4
ENSMUSG00000032744	ENSMUST00000040821	ENSMUSP00000040576	Heyl
ENSMUSG00000035451	ENSMUST00000044380	ENSMUSP00000041118	Foxa1
ENSMUSG00000048921	ENSMUST00000053392	ENSMUSP00000056610	Zfp689
ENSMUSG00000026751	ENSMUST00000112883	ENSMUSP00000108504	Nr5a1
ENSMUSG00000028807	ENSMUST00000030610	ENSMUSP00000030610	Zbtb8a
ENSMUSG00000033006	ENSMUST00000230532	ENSMUSP00000155574	Sox10
ENSMUSG00000026872	ENSMUST00000176438	ENSMUSP00000134849	Zeb2
ENSMUSG00000015501	ENSMUST00000187083	ENSMUSP00000140290	Hivep2
ENSMUSG00000018604	ENSMUST00000202034		Tbx3
ENSMUSG00000048450	ENSMUST00000063116	ENSMUSP00000058354	Msx1
ENSMUSG00000056673	ENSMUST00000189069	ENSMUSP00000139636	Kdm5d
ENSMUSG00000039967	ENSMUST00000098163	ENSMUSP00000095766	Zfp292
ENSMUSG00000020538	ENSMUST00000134660	ENSMUSP00000122934	Srebf1
ENSMUSG00000020453	ENSMUST00000142561		Patz1
ENSMUSG00000051910	ENSMUST00000206034	ENSMUSP00000145919	Sox6
ENSMUSG00000048485	ENSMUST00000106046	ENSMUSP00000101661	Zbtb8b
ENSMUSG00000044597	ENSMUST00000058404	ENSMUSP00000054158	Mycs
ENSMUSG00000005893	ENSMUST00000113460	ENSMUSP00000109087	Nr2c2
ENSMUSG00000014303	ENSMUST00000014447	ENSMUSP00000014447	Glis2
ENSMUSG00000032481	ENSMUST00000098355	ENSMUSP00000095958	Smarcc1
ENSMUSG00000030544	ENSMUST00000032760	ENSMUSP00000032760	Mesp1
ENSMUSG00000045268	ENSMUST00000052715	ENSMUSP00000053013	Zfp691
ENSMUSG00000048387	ENSMUST00000217975	ENSMUSP00000151780	Osr1
ENSMUSG00000030543	ENSMUST00000107394	ENSMUSP00000103017	Mesp2
ENSMUSG00000037621	ENSMUST00000206425	ENSMUSP00000145790	Atoh8
ENSMUSG00000038648	ENSMUST00000041093	ENSMUSP00000040208	Creb3l2
ENSMUSG00000026815	ENSMUST00000028156	ENSMUSP00000028156	Gfi1b
ENSMUSG00000017688	ENSMUST00000108393	ENSMUSP00000104030	Hnf4g
ENSMUSG00000031241	ENSMUST00000172682	ENSMUSP00000133607	Tbx22
ENSMUSG00000066829	ENSMUST00000086278	ENSMUSP00000083459	Zfp810
ENSMUSG00000055942	ENSMUST00000183788	ENSMUSP00000138932	Obox7
ENSMUSG00000008393	ENSMUST00000008537	ENSMUSP00000008537	Carhsp1
ENSMUSG00000030145	ENSMUST00000069292	ENSMUSP00000068807	Zfp248
ENSMUSG00000042414	ENSMUST00000047577	ENSMUSP00000044245	Prdm14
ENSMUSG00000032419	ENSMUST00000034991	ENSMUSP00000034991	Tbx18
ENSMUSG00000045680	ENSMUST00000049930	ENSMUSP00000053178	Tcf21
ENSMUSG00000079630	ENSMUST00000115170	ENSMUSP00000110824	Rhox4f
ENSMUSG00000022009	ENSMUST00000022586	ENSMUSP00000022586	Nufip1
ENSMUSG00000072623	ENSMUST00000161170	ENSMUSP00000123810	Zfp9
ENSMUSG00000018263	ENSMUST00000202723	ENSMUSP00000144418	Tbx5
ENSMUSG00000044186	ENSMUST00000062437	ENSMUSP00000049898	Nkx2-6
ENSMUSG00000034377	ENSMUST00000149838		Tulp4
ENSMUSG00000029553	ENSMUST00000031533	ENSMUSP00000031533	Tfec
ENSMUSG00000036442	ENSMUST00000040445	ENSMUSP00000048994	Thap11
ENSMUSG00000022061	ENSMUST00000022646	ENSMUSP00000022646	Nkx3-1
ENSMUSG00000060862	ENSMUST00000049583	ENSMUSP00000061899	Zbtb40
ENSMUSG00000040841	ENSMUST00000049454	ENSMUSP00000045973	Six5
ENSMUSG00000046541	ENSMUST00000055604	ENSMUSP00000053567	Zfp526
ENSMUSG00000025255	ENSMUST00000175866	ENSMUSP00000135827	Zfhx4
ENSMUSG00000079629	ENSMUST00000183888	ENSMUSP00000139146	Rhox2g
ENSMUSG00000069114	ENSMUST00000155203	ENSMUSP00000119386	Zbtb10
ENSMUSG00000066798	ENSMUST00000112932	ENSMUSP00000108554	Zbtb6
ENSMUSG00000050714	ENSMUST00000067043	ENSMUSP00000070071	Zbtb26
ENSMUSG00000052040	ENSMUST00000063694	ENSMUSP00000067680	Klf13
ENSMUSG00000040721	ENSMUST00000036328	ENSMUSP00000045156	Zfhx2
ENSMUSG00000079628	ENSMUST00000115166	ENSMUSP00000110820	Rhox4g
ENSMUSG00000071769	ENSMUST00000184824	ENSMUSP00000139320	Rhox3h
ENSMUSG00000037674	ENSMUST00000163401	ENSMUSP00000127192	Rfx7
ENSMUSG00000022010	ENSMUST00000110888	ENSMUSP00000106513	Tsc22d1
ENSMUSG00000030199	ENSMUST00000081028	ENSMUSP00000079818	Etv6
ENSMUSG00000037169	ENSMUST00000043396	ENSMUSP00000045993	Mycn
ENSMUSG00000068966	ENSMUST00000113158	ENSMUSP00000108783	Zbtb34
ENSMUSG00000048349	ENSMUST00000053016	ENSMUSP00000060798	Pou4f1
ENSMUSG00000040610	ENSMUST00000037746	ENSMUSP00000047457	Tlx3
ENSMUSG00000026788	ENSMUST00000028125	ENSMUSP00000028125	Zbtb43
ENSMUSG00000030557	ENSMUST00000156690	ENSMUSP00000117496	Mef2a
ENSMUSG00000079627	ENSMUST00000184088	ENSMUSP00000139288	Rhox2h
ENSMUSG00000011267	ENSMUST00000108453	ENSMUSP00000104093	Zfp296
ENSMUSG00000019900	ENSMUST00000217662		Rfx6
ENSMUSG00000035277	ENSMUST00000187010		Arx
ENSMUSG00000006200	ENSMUST00000006362	ENSMUSP00000006362	Rhox6
ENSMUSG00000028341	ENSMUST00000030025	ENSMUSP00000030025	Nr4a3
ENSMUSG00000030353	ENSMUST00000130454	ENSMUSP00000118083	Tead4
ENSMUSG00000029178	ENSMUST00000165536	ENSMUSP00000129363	Klf3
ENSMUSG00000047003	ENSMUST00000161785	ENSMUSP00000124626	Zfp41
ENSMUSG00000019564	ENSMUST00000019708	ENSMUSP00000019708	Arid3a
ENSMUSG00000038151	ENSMUST00000039174	ENSMUSP00000039248	Prdm1
ENSMUSG00000073197	ENSMUST00000177778	ENSMUSP00000137525	5730507C01Rik
ENSMUSG00000071767	ENSMUST00000096454	ENSMUSP00000094193	Rhox7a
ENSMUSG00000061517	ENSMUST00000170662	ENSMUSP00000127396	Sox21
ENSMUSG00000034486	ENSMUST00000036954	ENSMUSP00000048508	Gbx2
ENSMUSG00000064137	ENSMUST00000071885	ENSMUSP00000071782	Rhox8
ENSMUSG00000079626	ENSMUST00000115156	ENSMUSP00000110809	Rhox7b
ENSMUSG00000068048	ENSMUST00000170643	ENSMUSP00000126022	Rhox9
ENSMUSG00000037335	ENSMUST00000036917	ENSMUSP00000046999	Hand1
ENSMUSG00000038765	ENSMUST00000041730	ENSMUSP00000043616	Lmx1b
ENSMUSG00000040489	ENSMUST00000049038	ENSMUSP00000037519	Sox30
ENSMUSG00000063972	ENSMUST00000112877	ENSMUSP00000108498	Nr6a1
ENSMUSG00000031706	ENSMUST00000211046	ENSMUSP00000147677	Rfx1
ENSMUSG00000053909	ENSMUST00000115150	ENSMUSP00000110803	Rhox10
ENSMUSG00000033249	ENSMUST00000173640	ENSMUSP00000133532	Hsf4
ENSMUSG00000040433	ENSMUST00000152594	ENSMUSP00000121753	Zbtb38
ENSMUSG00000040857	ENSMUST00000045847	ENSMUSP00000041912	Erf
ENSMUSG00000020275	ENSMUST00000102864	ENSMUSP00000099928	Rel
ENSMUSG00000051038	ENSMUST00000054147	ENSMUSP00000052929	Rhox11
ENSMUSG00000071766	ENSMUST00000096453	ENSMUSP00000094191	Rhox12
ENSMUSG00000031103	ENSMUST00000114958	ENSMUSP00000110608	Elf4
ENSMUSG00000030424	ENSMUST00000186855		Zfp939
ENSMUSG00000022346	ENSMUST00000161976	ENSMUSP00000123821	Myc
ENSMUSG00000068959	ENSMUST00000108015	ENSMUSP00000103650	Zfp619
ENSMUSG00000063632	ENSMUST00000079063	ENSMUSP00000078070	Sox11
ENSMUSG00000074369	ENSMUST00000036575	ENSMUSP00000042995	Obox2
ENSMUSG00000001521	ENSMUST00000001562	ENSMUSP00000001562	Tulp3
ENSMUSG00000066772	ENSMUST00000174443	ENSMUSP00000134531	Obox3
ENSMUSG00000055320	ENSMUST00000084705	ENSMUSP00000081755	Tead1
ENSMUSG00000054310	ENSMUST00000172881	ENSMUSP00000134688	Obox1
ENSMUSG00000048047	ENSMUST00000115142	ENSMUSP00000110795	Zbtb33
ENSMUSG00000029595	ENSMUST00000031591	ENSMUSP00000031591	Lhx5
ENSMUSG00000039068	ENSMUST00000106103	ENSMUSP00000101709	Zzz3
ENSMUSG00000032425	ENSMUST00000162827	ENSMUSP00000125325	Zfp949
ENSMUSG00000034384	ENSMUST00000086795	ENSMUSP00000084005	Barhl2
ENSMUSG00000049606	ENSMUST00000112696	ENSMUSP00000108316	Zfp644
ENSMUSG00000045440	ENSMUST00000051857	ENSMUSP00000061046	Insm2
ENSMUSG00000009734	ENSMUST00000139064	ENSMUSP00000114173	Pou6f2
ENSMUSG00000019982	ENSMUST00000188495	ENSMUSP00000139699	Myb
ENSMUSG00000071661	ENSMUST00000172175	ENSMUSP00000127746	Zbtb3
ENSMUSG00000005442	ENSMUST00000169266	ENSMUSP00000132351	Cic
ENSMUSG00000045991	ENSMUST00000175965	ENSMUSP00000135692	Onecut2
ENSMUSG00000001517	ENSMUST00000123988		Foxm1
ENSMUSG00000022335	ENSMUST00000162054	ENSMUSP00000125732	Zfat
ENSMUSG00000032998	ENSMUST00000176012	ENSMUSP00000135430	Foxj3
ENSMUSG00000063804	ENSMUST00000079390	ENSMUSP00000078361	Lin28b
ENSMUSG00000021779	ENSMUST00000224470	ENSMUSP00000153230	Thrb
ENSMUSG00000050100	ENSMUST00000183219	ENSMUSP00000138799	Hmx2
ENSMUSG00000040148	ENSMUST00000046093	ENSMUSP00000039018	Hmx3
ENSMUSG00000050397	ENSMUST00000051312	ENSMUSP00000053297	Foxl2
ENSMUSG00000025025	ENSMUST00000003870	ENSMUSP00000003870	Mxi1
ENSMUSG00000037583	ENSMUST00000042706	ENSMUSP00000039175	Nr0b2
ENSMUSG00000067860	ENSMUST00000137687	ENSMUSP00000116383	Zic3
ENSMUSG00000060969	ENSMUST00000077337	ENSMUSP00000076562	Irx1
ENSMUSG00000038718	ENSMUST00000113132	ENSMUSP00000108757	Pbx3
ENSMUSG00000020656	ENSMUST00000085553	ENSMUSP00000082689	Grhl1
ENSMUSG00000009097	ENSMUST00000232335	ENSMUSP00000156061	Tbx1
ENSMUSG00000035951	ENSMUST00000035372	ENSMUSP00000037702	Ascl3
ENSMUSG00000029127	ENSMUST00000124939		Zbtb49
ENSMUSG00000079392	ENSMUST00000112785		Gm17170
ENSMUSG00000029771	ENSMUST00000004392	ENSMUSP00000004392	Irf5
ENSMUSG00000003282	ENSMUST00000003369	ENSMUSP00000003369	Plag1
ENSMUSG00000047643	ENSMUST00000052030		Gm5454
ENSMUSG00000046714	ENSMUST00000054691	ENSMUSP00000055290	Foxc2
ENSMUSG00000035187	ENSMUST00000044125	ENSMUSP00000042716	Nkx6-1
ENSMUSG00000042812	ENSMUST00000181504	ENSMUSP00000137662	Foxf1
ENSMUSG00000071302	ENSMUST00000190157	ENSMUSP00000140736	2610044O15Rik8
ENSMUSG00000032318	ENSMUST00000175950	ENSMUSP00000139485	Isl2
ENSMUSG00000037214	ENSMUST00000036807	ENSMUSP00000042464	Thap1
ENSMUSG00000007415	ENSMUST00000140871	ENSMUSP00000122092	Gatad1
ENSMUSG00000047264	ENSMUST00000061508	ENSMUSP00000060344	Zfp358
ENSMUSG00000000861	ENSMUST00000118955	ENSMUSP00000112948	Bcl11a
ENSMUSG00000007946	ENSMUST00000008090	ENSMUSP00000008090	Phox2a
ENSMUSG00000042109	ENSMUST00000038757	ENSMUSP00000044441	Csdc2
ENSMUSG00000020653	ENSMUST00000020982	ENSMUSP00000020982	Klf11
ENSMUSG00000001504	ENSMUST00000074372	ENSMUSP00000073976	Irx2
ENSMUSG00000052942	ENSMUST00000162022	ENSMUSP00000124635	Glis3
ENSMUSG00000037447	ENSMUST00000126413	ENSMUSP00000115490	Arid5a
ENSMUSG00000047143	ENSMUST00000061187	ENSMUSP00000060441	Dmrta2
ENSMUSG00000029697	ENSMUST00000031709	ENSMUSP00000031709	Fezf1
ENSMUSG00000023411	ENSMUST00000226979	ENSMUSP00000154813	Nfatc4
ENSMUSG00000054519	ENSMUST00000057799	ENSMUSP00000050746	Zfp867
ENSMUSG00000021775	ENSMUST00000090543	ENSMUSP00000088031	Nr1d2
ENSMUSG00000048528	ENSMUST00000054562	ENSMUSP00000052778	Nkx1-2
ENSMUSG00000037138	ENSMUST00000095027	ENSMUSP00000092637	Aff3
ENSMUSG00000069729	ENSMUST00000124362		Arid1b
ENSMUSG00000021318	ENSMUST00000130065	ENSMUSP00000115989	Gli3
ENSMUSG00000029754	ENSMUST00000160937	ENSMUSP00000124204	Dlx6
ENSMUSG00000022526	ENSMUST00000080406	ENSMUSP00000079268	Zfp251
ENSMUSG00000022556	ENSMUST00000228868	ENSMUSP00000154346	Hsf1
ENSMUSG00000041515	ENSMUST00000160943	ENSMUSP00000125447	Irf8
ENSMUSG00000047002	ENSMUST00000049877	ENSMUSP00000055001	Msgn1
ENSMUSG00000027552	ENSMUST00000029069	ENSMUSP00000029069	E2f5
ENSMUSG00000021575	ENSMUST00000022059	ENSMUSP00000022059	Ahrr
ENSMUSG00000051451	ENSMUST00000061767	ENSMUSP00000050972	Crebzf
ENSMUSG00000050064	ENSMUST00000196741		Zfp697
ENSMUSG00000042002	ENSMUST00000044790	ENSMUSP00000047951	Foxn4
ENSMUSG00000037477	ENSMUST00000041871	ENSMUSP00000037401	Tbx10
ENSMUSG00000069755	ENSMUST00000144811		Zfp125
ENSMUSG00000042589	ENSMUST00000111752	ENSMUSP00000107381	Cux2
ENSMUSG00000022676	ENSMUST00000023356	ENSMUSP00000023356	Snai2
ENSMUSG00000038518	ENSMUST00000174394		Jarid2
ENSMUSG00000045515	ENSMUST00000239323	ENSMUSP00000159226	Pou3f3
ENSMUSG00000047861	ENSMUST00000060271	ENSMUSP00000058651	Foxi1
ENSMUSG00000057637	ENSMUST00000105778	ENSMUSP00000101404	Prdm2
ENSMUSG00000049755	ENSMUST00000057836	ENSMUSP00000060088	Zfp672
ENSMUSG00000074637	ENSMUST00000099151	ENSMUSP00000096755	Sox2
ENSMUSG00000014859	ENSMUST00000015003	ENSMUSP00000015003	E2f4
ENSMUSG00000028634	ENSMUST00000144907		Hivep3
ENSMUSG00000028423	ENSMUST00000098143	ENSMUSP00000095747	Nfx1
ENSMUSG00000060261	ENSMUST00000059042	ENSMUSP00000049625	Gtf2i
ENSMUSG00000002983	ENSMUST00000094762	ENSMUSP00000092355	Relb
ENSMUSG00000079509	ENSMUST00000088102	ENSMUSP00000085423	Zfx
ENSMUSG00000046873	ENSMUST00000065857		Mbtps2
ENSMUSG00000043903	ENSMUST00000187142	ENSMUSP00000158621	Zfp469
ENSMUSG00000029755	ENSMUST00000142635	ENSMUSP00000138264	Dlx5
ENSMUSG00000032652	ENSMUST00000046303	ENSMUSP00000035304	Crebl2
ENSMUSG00000039521	ENSMUST00000234896	ENSMUSP00000157243	Foxp3
ENSMUSG00000026805	ENSMUST00000050776	ENSMUSP00000053147	Barhl1
ENSMUSG00000030001	ENSMUST00000201361		Figla
ENSMUSG00000021604	ENSMUST00000176684	ENSMUSP00000134738	Irx4
ENSMUSG00000037174	ENSMUST00000194641	ENSMUSP00000141197	Elf2
ENSMUSG00000020472	ENSMUST00000013262	ENSMUSP00000013262	Zkscan17
ENSMUSG00000005774	ENSMUST00000107260	ENSMUSP00000102881	Rfx5
ENSMUSG00000033669	ENSMUST00000023179	ENSMUSP00000023179	Zfp7
ENSMUSG00000074366	ENSMUST00000173455	ENSMUSP00000134468	Obox5
ENSMUSG00000041583	ENSMUST00000108513	ENSMUSP00000104153	Obox6
ENSMUSG00000030678	ENSMUST00000205568	ENSMUSP00000145619	Maz
ENSMUSG00000079681	ENSMUST00000115494	ENSMUSP00000111157	Zglp1
ENSMUSG00000025959	ENSMUST00000114086	ENSMUSP00000109720	Klf7
ENSMUSG00000041164	ENSMUST00000012612	ENSMUSP00000012612	Zmiz2
ENSMUSG00000006587	ENSMUST00000006762	ENSMUSP00000006762	Snai3
ENSMUSG00000046792	ENSMUST00000094870	ENSMUSP00000092468	Zfp787
ENSMUSG00000027035	ENSMUST00000028426	ENSMUSP00000028426	Cers6
ENSMUSG00000056383	ENSMUST00000071804	ENSMUSP00000071708	AI987944
ENSMUSG00000074166	ENSMUST00000098509	ENSMUSP00000096109	AW146154
ENSMUSG00000026803	ENSMUST00000100237	ENSMUSP00000097809	Ttf1
ENSMUSG00000048626	ENSMUST00000062747	ENSMUSP00000052316	Klf17
ENSMUSG00000052135	ENSMUST00000102656	ENSMUSP00000099716	Foxo6
ENSMUSG00000038342	ENSMUST00000111596	ENSMUSP00000107223	Mlxip
ENSMUSG00000074194	ENSMUST00000211109	ENSMUSP00000147335	Zfp791
ENSMUSG00000029135	ENSMUST00000031017	ENSMUSP00000031017	Fosl2
ENSMUSG00000044876	ENSMUST00000128495	ENSMUSP00000121413	Zfp444
ENSMUSG00000007880	ENSMUST00000145664	ENSMUSP00000122354	Arid1a
ENSMUSG00000031326	ENSMUST00000033689	ENSMUSP00000033689	Cdx4
ENSMUSG00000036461	ENSMUST00000040131	ENSMUSP00000046515	Elf1
ENSMUSG00000041578	ENSMUST00000044434	ENSMUSP00000043436	Crx
ENSMUSG00000055116	ENSMUST00000047321	ENSMUSP00000046235	Arntl
ENSMUSG00000023079	ENSMUST00000111244	ENSMUSP00000106875	Gtf2ird1
ENSMUSG00000028466	ENSMUST00000126277		Creb3
ENSMUSG00000002393	ENSMUST00000002466	ENSMUSP00000002466	Nr2f6
ENSMUSG00000000103	ENSMUST00000187148	ENSMUSP00000139591	Zfy2
ENSMUSG00000041272	ENSMUST00000039987	ENSMUSP00000037966	Tox
ENSMUSG00000021685	ENSMUST00000022195	ENSMUSP00000022195	Otp
ENSMUSG00000024826	ENSMUST00000136983	ENSMUSP00000120125	Dpf2
ENSMUSG00000059897	ENSMUST00000212681	ENSMUSP00000148587	Zfp930
ENSMUSG00000074165	ENSMUST00000154942	ENSMUSP00000119819	Zfp788
ENSMUSG00000015942	ENSMUST00000123941	ENSMUSP00000120792	Gtf2ird2
ENSMUSG00000047591	ENSMUST00000062002	ENSMUSP00000054226	Mafa
ENSMUSG00000049577	ENSMUST00000054052	ENSMUSP00000058037	Zfpm1
ENSMUSG00000058028	ENSMUST00000072662	ENSMUSP00000072449	Zscan5b
ENSMUSG00000074365	ENSMUST00000125993	ENSMUSP00000139388	Crxos
ENSMUSG00000025958	ENSMUST00000185594	ENSMUSP00000139995	Creb1
ENSMUSG00000004071	ENSMUST00000147225	ENSMUSP00000120143	Cdip1
ENSMUSG00000039699	ENSMUST00000134150		Batf2
ENSMUSG00000040289	ENSMUST00000042412	ENSMUSP00000038014	Hey1
ENSMUSG00000069036	ENSMUST00000091178	ENSMUSP00000088717	Sry
ENSMUSG00000026077	ENSMUST00000173050	ENSMUSP00000134241	Npas2
ENSMUSG00000019338	ENSMUST00000146169		Zfp687
ENSMUSG00000023443	ENSMUST00000113066	ENSMUSP00000108689	Esx1
ENSMUSG00000031734	ENSMUST00000093312	ENSMUSP00000091002	Irx3
ENSMUSG00000060427	ENSMUST00000121886	ENSMUSP00000113952	Zfp868
ENSMUSG00000061911	ENSMUST00000218583	ENSMUSP00000151588	Myt1l
ENSMUSG00000078503	ENSMUST00000105742	ENSMUSP00000101368	Zfp990
ENSMUSG00000003545	ENSMUST00000003640	ENSMUSP00000003640	Fosb
ENSMUSG00000056592	ENSMUST00000107972	ENSMUSP00000103606	Zfp658
ENSMUSG00000039634	ENSMUST00000107696	ENSMUSP00000103324	Zfp189
ENSMUSG00000046179	ENSMUST00000058745	ENSMUSP00000056778	E2f8
ENSMUSG00000030796	ENSMUST00000033060	ENSMUSP00000033060	Tead2
ENSMUSG00000032119	ENSMUST00000216508	ENSMUSP00000149879	Hinfp
ENSMUSG00000024695	ENSMUST00000038627	ENSMUSP00000037971	Zfp91
ENSMUSG00000074397	ENSMUST00000215375	ENSMUSP00000149277	Foxr1
ENSMUSG00000039852	ENSMUST00000105682	ENSMUSP00000101307	Rere
ENSMUSG00000054648	ENSMUST00000238292	ENSMUSP00000158827	Zfp869
ENSMUSG00000078502	ENSMUST00000105739	ENSMUSP00000101365	Gm13212
ENSMUSG00000030469	ENSMUST00000058104	ENSMUSP00000050968	Zfp719
ENSMUSG00000001065	ENSMUST00000001092	ENSMUSP00000001092	Zfp276
ENSMUSG00000061079	ENSMUST00000209505	ENSMUSP00000147673	Zfp143
ENSMUSG00000054893	ENSMUST00000086327	ENSMUSP00000083507	Zfp667
ENSMUSG00000024968	ENSMUST00000140442	ENSMUSP00000114858	Rcor2
ENSMUSG00000058440	ENSMUST00000115212	ENSMUSP00000110867	Nrf1
ENSMUSG00000029736	ENSMUST00000031749	ENSMUSP00000031749	Nobox
ENSMUSG00000067724	ENSMUST00000088311	ENSMUSP00000085651	Gbx1
ENSMUSG00000058186	ENSMUST00000105738	ENSMUSP00000101364	Zfp980
ENSMUSG00000055102	ENSMUST00000120935	ENSMUSP00000113867	Zfp819
ENSMUSG00000021010	ENSMUST00000223358	ENSMUSP00000152411	Npas3
ENSMUSG00000043090	ENSMUST00000131784	ENSMUSP00000116972	Zfp866
ENSMUSG00000063108	ENSMUST00000159569	ENSMUSP00000124075	Zfp26
ENSMUSG00000031737	ENSMUST00000210246	ENSMUSP00000147339	Irx5
ENSMUSG00000054967	ENSMUST00000229055	ENSMUSP00000155685	Zfp647
ENSMUSG00000042258	ENSMUST00000036060	ENSMUSP00000044879	Isl1
ENSMUSG00000003382	ENSMUST00000119109	ENSMUSP00000112915	Etv3
ENSMUSG00000025128	ENSMUST00000026120	ENSMUSP00000026120	Bhlhe22
ENSMUSG00000000247	ENSMUST00000143783	ENSMUSP00000114797	Lhx2
ENSMUSG00000031738	ENSMUST00000034185	ENSMUSP00000034185	Irx6
ENSMUSG00000045802	ENSMUST00000119035	ENSMUSP00000114018	Hsf3
ENSMUSG00000041420	ENSMUST00000176342	ENSMUSP00000135302	Meis3
ENSMUSG00000056854	ENSMUST00000078229	ENSMUSP00000077354	Pou3f4
ENSMUSG00000073209	ENSMUST00000101589	ENSMUSP00000099122	Klf14
ENSMUSG00000030386	ENSMUST00000098822	ENSMUSP00000096421	Zfp606
