ensg	ensp	name	enst
ENSG00000134398	ENSP00000413812	ERN2	ENST00000457008
ENSG00000181085	ENSP00000337691	MAPK15	ENST00000338033
ENSG00000132518	ENSP00000254854	GUCY2D	ENST00000254854
ENSG00000196730	ENSP00000350785	DAPK1	ENST00000358077
ENSG00000095015	ENSP00000382423	MAP3K1	ENST00000399503
ENSG00000060237	ENSP00000441972	WNK1	ENST00000535572
ENSG00000178999	ENSP00000313950	AURKB	ENST00000316199
ENSG00000072786	ENSP00000176763	STK10	ENST00000176763
ENSG00000163482	ENSP00000295709	STK36	ENST00000295709
ENSG00000115661	ENSP00000386928	STK16	ENST00000409638
ENSG00000128829	ENSP00000453148	EIF2AK4	ENST00000559624
ENSG00000128881	ENSP00000267890	TTBK2	ENST00000267890
ENSG00000116106		EPHA4	ENST00000469354
ENSG00000100784	ENSP00000261991	RPS6KA5	ENST00000261991
ENSG00000156970		BUB1B	ENST00000560120
ENSG00000102096	ENSP00000365692	PIM2	ENST00000376509
ENSG00000137843	ENSP00000453520	PAK6	ENST00000561230
ENSG00000035664	ENSP00000453639	DAPK2	ENST00000559007
ENSG00000145632	ENSP00000274289	PLK2	ENST00000274289
ENSG00000027075	ENSP00000451871	PRKCH	ENST00000555185
ENSG00000169118	ENSP00000305777	CSNK1G1	ENST00000303052
ENSG00000104205	ENSP00000430463	SGK3	ENST00000521198
ENSG00000123572	ENSP00000434830	NRK	ENST00000243300
ENSG00000138769	ENSP00000412365	CDKL2	ENST00000429927
ENSG00000096968		JAK2	ENST00000476574
ENSG00000130822	ENSP00000340586	PNCK	ENST00000340888
ENSG00000095777	ENSP00000265944	MYO3A	ENST00000265944
ENSG00000165059	ENSP00000366488	PRKACG	ENST00000377276
ENSG00000101890	ENSP00000218006	GUCY2F	ENST00000218006
ENSG00000169032	ENSP00000302486	MAP2K1	ENST00000307102
ENSG00000077264		PAK3	ENST00000484442
ENSG00000137764	ENSP00000178640	MAP2K5	ENST00000178640
ENSG00000007264	ENSP00000378481	MATK	ENST00000395040
ENSG00000167657	ENSP00000442973	DAPK3	ENST00000545797
ENSG00000126934	ENSP00000262948	MAP2K2	ENST00000262948
ENSG00000107779	ENSP00000361107	BMPR1A	ENST00000372037
ENSG00000134058	ENSP00000425043	CDK7	ENST00000506563
ENSG00000265184	ENSP00000463587	DYRK3	ENST00000578483
ENSG00000266641	ENSP00000461936	MAPKAPK2	ENST00000579291
ENSG00000262063	ENSP00000460969	LIMK1	ENST00000573590
ENSG00000269511	ENSP00000471833	WNK3	ENST00000599955
ENSG00000268897	ENSP00000470723	BTK	ENST00000593634
ENSG00000269773	ENSP00000470867	PNCK	ENST00000595210
ENSG00000268444	ENSP00000470470	SRPK3	ENST00000595821
ENSG00000268944	ENSP00000470203	IRAK1	ENST00000596145
ENSG00000267878	ENSP00000469116	PIM2	ENST00000601083
ENSG00000262673	ENSP00000459073	MAPK4	ENST00000576626
LRG_126	LRG_126p1	ZAP70	LRG_126t1
LRG_128	LRG_128p1	BTK	LRG_128t1
LRG_135	LRG_135p1	ATM	LRG_135t1
LRG_162	LRG_162p1	PRKDC	LRG_162t1
LRG_189	LRG_189p1	ITK	LRG_189t1
LRG_249	LRG_249p1	HSPB8	LRG_249t1
LRG_261	LRG_261p3	NTRK1	LRG_261t3
LRG_298	LRG_298p1	BMPR1A	LRG_298t1
LRG_319	LRG_319p1	STK11	LRG_319t1
LRG_391	LRG_391p2	TTN	LRG_391t2
LRG_392	LRG_392p1	MYLK2	LRG_392t1
LRG_413	LRG_413p1	RAF1	LRG_413t1
LRG_457	LRG_457p1	FLT3	LRG_457t1
LRG_444	LRG_444p1	ILK	LRG_444t1
LRG_488	LRG_488p1	ALK	LRG_488t1
LRG_490	LRG_490p1	CDK4	LRG_490t1
LRG_535	LRG_535p1	STK4	LRG_535t1
LRG_75	LRG_75p1	IRAK4	LRG_75t1
LRG_77	LRG_77p1	JAK3	LRG_77t1
