loc	ensg	name	tss_loc	strand
chr12:2966847-2986206	ENSG00000111206	FOXM1	chr12:2986206-2986206	-1
chr3:157814948-157824292	ENSG00000168779	SHOX2	chr3:157824292-157824292	-1
chr11:65659520-65668044	ENSG00000175592	FOSL1	chr11:65668044-65668044	-1
chr18:51679079-51751158	ENSG00000134046	MBD2	chr18:51751158-51751158	-1
chr7:1570350-1582679	ENSG00000198517	MAFK	chr7:1570350-1570350	1
chr20:2673480-2740754	ENSG00000088881	EBF4	chr20:2673480-2673480	1
chr2:19551246-19558414	ENSG00000143867	OSR1	chr2:19558414-19558414	-1
chr7:27282164-27290112	ENSG00000106038	EVX1	chr7:27282164-27282164	1
chr7:27233122-27239725	ENSG00000106031	HOXA13	chr7:27239725-27239725	-1
chr19:44830708-44871377	ENSG00000062370	ZNF112	chr19:44871377-44871377	-1
chr1:145575233-145586546	ENSG00000131788	PIAS3	chr1:145575233-145575233	1
chr12:96588160-96663613	ENSG00000111145	ELK3	chr12:96588160-96588160	1
chr4:185308867-185395734	ENSG00000168310	IRF2	chr4:185395734-185395734	-1
chr2:42721709-42984087	ENSG00000057935	MTA3	chr2:42721709-42721709	1
chr3:40547483-40560227	ENSG00000177842	ZNF620	chr3:40547483-40547483	1
chr19:19672522-19729725	ENSG00000105717	PBX4	chr19:19729725-19729725	-1
chr14:36985602-36990354	ENSG00000136352	NKX2-1	chr14:36990354-36990354	-1
chr11:123594885-123612383	ENSG00000166261	ZNF202	chr11:123612383-123612383	-1
chr19:59073298-59084942	ENSG00000099326	MZF1	chr19:59084942-59084942	-1
chr12:51487446-51566926	ENSG00000135457	TFCP2	chr12:51566926-51566926	-1
chr9:124964856-124991905	ENSG00000106852	LHX6	chr9:124991905-124991905	-1
chr19:44376515-44405537	ENSG00000176222	ZNF404	chr19:44405537-44405537	-1
chr6:151685252-151712683	ENSG00000181472	ZBTB2	chr6:151712683-151712683	-1
chr12:109715784-109747025	ENSG00000139445	FOXN4	chr12:109747025-109747025	-1
chr8:41502697-41508855	ENSG00000165066	NKX6-3	chr8:41508855-41508855	-1
chr16:68563993-68609975	ENSG00000184939	ZFP90	chr16:68563993-68563993	1
chr4:94750042-94751221	ENSG00000172238	ATOH1	chr4:94750042-94750042	1
chr3:71003844-71633140	ENSG00000114861	FOXP1	chr3:71633140-71633140	-1
chr19:37708828-37734828	ENSG00000188283	ZNF383	chr19:37708828-37708828	1
chr11:67398774-67407031	ENSG00000167800	TBX10	chr11:67407031-67407031	-1
chr16:8946799-8962866	ENSG00000153048	CARHSP1	chr16:8962866-8962866	-1
chr8:23559964-23564111	ENSG00000180053	NKX2-6	chr8:23564111-23564111	-1
chr8:22545172-22550815	ENSG00000179388	EGR3	chr8:22550815-22550815	-1
chr2:8818975-8824583	ENSG00000115738	ID2	chr2:8818975-8818975	1
chr22:41956767-41973745	ENSG00000172346	CSDC2	chr22:41956767-41956767	1
chr10:22045466-22292698	ENSG00000136770	DNAJC1	chr10:22292698-22292698	-1
chr4:108968701-109090112	ENSG00000138795	LEF1	chr4:109090112-109090112	-1
chr8:11534468-11617511	ENSG00000136574	GATA4	chr8:11534468-11534468	1
chr19:56887413-56904914	ENSG00000018869	ZNF582	chr19:56904914-56904914	-1
chr17:38214543-38250120	ENSG00000126351	THRA	chr17:38214543-38214543	1
chr2:176987088-176989853	ENSG00000128709	HOXD9	chr2:176987088-176987088	1
chr11:47269851-47290396	ENSG00000025434	NR1H3	chr11:47269851-47269851	1
chr3:44771088-44778575	ENSG00000186446	ZNF501	chr3:44771088-44771088	1
chr6:35465651-35480715	ENSG00000112041	TULP1	chr6:35480715-35480715	-1
chr11:46299212-46342972	ENSG00000157613	CREB3L1	chr11:46299212-46299212	1
chr3:44626380-44689963	ENSG00000186448	ZNF197	chr3:44626380-44626380	1
chrX:82763269-82764775	ENSG00000196767	POU3F4	chrX:82763269-82763269	1
chr8:80676245-80680098	ENSG00000164683	HEY1	chr8:80680098-80680098	-1
chr6:26158349-26171577	ENSG00000158373	HIST1H2BD	chr6:26158349-26158349	1
chr6:28092338-28097860	ENSG00000196812	ZSCAN16	chr6:28092338-28092338	1
chr5:158122928-158526769	ENSG00000164330	EBF1	chr5:158526769-158526769	-1
chr2:231191899-231268447	ENSG00000185404	SP140L	chr2:231191899-231191899	1
chr8:144501352-144512576	ENSG00000182759	MAFA	chr8:144512576-144512576	-1
chr16:30097114-30103208	ENSG00000149922	TBX6	chr16:30103208-30103208	-1
chr20:25654851-25677477	ENSG00000130684	ZNF337	chr20:25677477-25677477	-1
chr19:58637619-58666477	ENSG00000181894	ZNF329	chr19:58666477-58666477	-1
chr19:19779605-19794318	ENSG00000181896	ZNF101	chr19:19779605-19779605	1
chr6:33161365-33168630	ENSG00000204231	RXRB	chr6:33168630-33168630	-1
chr11:644233-706715	ENSG00000177030	DEAF1	chr11:706715-706715	-1
chr10:8095567-8117161	ENSG00000107485	GATA3	chr10:8095567-8095567	1
chrGL000223.1:93511-119608	ENSG00000236575	ZNF26	chrGL000223.1:119608-119608	-1
chr19:22361893-22379753	ENSG00000196109	ZNF676	chr19:22379753-22379753	-1
chr19:9251056-9274100	ENSG00000130803	ZNF317	chr19:9251056-9251056	1
chr7:27221129-27224842	ENSG00000005073	HOXA11	chr7:27224842-27224842	-1
chr19:37597636-37663643	ENSG00000196967	ZNF585A	chr19:37663643-37663643	-1
chr6:158733692-158932860	ENSG00000130338	TULP4	chr6:158733692-158733692	1
chr16:54964774-54968397	ENSG00000176842	IRX5	chr16:54964774-54964774	1
chr6:32065953-32096030	ENSG00000213676	ATF6B	chr6:32096030-32096030	-1
chr17:16524051-16557170	ENSG00000197566	ZNF624	chr17:16557170-16557170	-1
chr17:38781214-38804760	ENSG00000073584	SMARCE1	chr17:38804760-38804760	-1
chr3:12328867-12475855	ENSG00000132170	PPARG	chr3:12328867-12328867	1
chr5:132211071-132299326	ENSG00000072364	AFF4	chr5:132299326-132299326	-1
chr19:9671029-9695209	ENSG00000197961	ZNF121	chr19:9695209-9695209	-1
chr19:56700939-56709289	ENSG00000197213	ZSCAN5B	chr19:56709289-56709289	-1
chr1:150933059-150947479	ENSG00000143418	CERS2	chr1:150947479-150947479	-1
chr7:148799876-148823438	ENSG00000204947	ZNF425	chr7:148823438-148823438	-1
chr7:148959262-148994393	ENSG00000204946	ZNF783	chr7:148959262-148959262	1
chr19:44507100-44518078	ENSG00000159882	ZNF230	chr19:44507100-44507100	1
chr19:44529494-44537265	ENSG00000159885	ZNF222	chr19:44529494-44529494	1
chr19:52932440-52955568	ENSG00000198633	ZNF534	chr19:52932440-52932440	1
chr19:44555520-44572144	ENSG00000178386	ZNF223	chr19:44555520-44555520	1
chr11:17741115-17743678	ENSG00000129152	MYOD1	chr11:17741115-17741115	1
chr19:22573821-22715287	ENSG00000197360	ZNF98	chr19:22715287-22715287	-1
chr7:148766735-148787874	ENSG00000197362	ZNF786	chr7:148787874-148787874	-1
chr8:146024261-146036554	ENSG00000197363	ZNF517	chr8:146024261-146024261	1
chr14:29235050-29238870	ENSG00000176165	FOXG1	chr14:29235050-29235050	1
chr4:56294070-56413305	ENSG00000134852	CLOCK	chr4:56413305-56413305	-1
chr1:50883222-50889172	ENSG00000142700	DMRTA2	chr1:50889172-50889172	-1
chr10:102889257-102897545	ENSG00000107807	TLX1	chr10:102889257-102889257	1
chr20:45129701-45142198	ENSG00000198185	ZNF334	chr20:45142198-45142198	-1
chr1:161199456-161208092	ENSG00000143257	NR1I3	chr1:161208092-161208092	-1
chr2:16080686-16087129	ENSG00000134323	MYCN	chr2:16080686-16080686	1
chr1:247460714-247495148	ENSG00000162714	ZNF496	chr1:247495148-247495148	-1
chr2:17997763-17998368	ENSG00000151379	MSGN1	chr2:17997763-17997763	1
chr17:47366568-47439835	ENSG00000198740	ZNF652	chr17:47439835-47439835	-1
chr19:24216276-24312654	ENSG00000213096	ZNF254	chr19:24216276-24216276	1
chr8:145946298-145981802	ENSG00000198169	ZNF251	chr8:145981802-145981802	-1
chr16:29817427-29823649	ENSG00000103495	MAZ	chr16:29817427-29817427	1
chr7:63767837-63810017	ENSG00000234444	ZNF736	chr7:63767837-63767837	1
chr5:92919043-92930321	ENSG00000175745	NR2F1	chr5:92919043-92919043	1
chr4:185939995-185941958	ENSG00000187821	HELT	chr4:185939995-185939995	1
chr20:32319463-32380075	ENSG00000131061	ZNF341	chr20:32319463-32319463	1
chr9:976964-991731	ENSG00000064218	DMRT3	chr9:976964-976964	1
chr10:44101855-44113351	ENSG00000198298	ZNF485	chr10:44101855-44101855	1
chr12:51157493-51214905	ENSG00000123268	ATF1	chr12:51157493-51157493	1
chr7:15650837-15726437	ENSG00000106511	MEOX2	chr7:15726437-15726437	-1
chr19:56111388-56114504	ENSG00000171443	ZNF524	chr19:56111388-56111388	1
chr14:21944756-21967319	ENSG00000092203	TOX4	chr14:21944756-21944756	1
chr12:46123448-46301823	ENSG00000189079	ARID2	chr12:46123448-46123448	1
chr19:3572775-3579086	ENSG00000064961	HMG20B	chr19:3572775-3572775	1
chr2:231280657-231408805	ENSG00000067066	SP100	chr2:231280657-231280657	1
chr6:135502453-135540311	ENSG00000118513	MYB	chr6:135502453-135502453	1
chr12:104510855-104532067	ENSG00000120837	NFYB	chr12:104532067-104532067	-1
chr19:58315209-58326281	ENSG00000178935	ZNF552	chr19:58326281-58326281	-1
chr19:12203078-12225491	ENSG00000188474	ZNF788	chr19:12203078-12203078	1
chr9:96713905-96717654	ENSG00000131668	BARX1	chr9:96717654-96717654	-1
chr19:58944181-58951589	ENSG00000131849	ZNF132	chr19:58951589-58951589	-1
chr19:56732681-56879752	ENSG00000131848	ZSCAN5A	chr19:56879752-56879752	-1
chr14:23990066-24025401	ENSG00000136367	ZFHX2	chr14:24025401-24025401	-1
chr19:57862675-57871266	ENSG00000131845	ZNF304	chr19:57862675-57862675	1
chr19:58878985-58892427	ENSG00000152475	ZNF837	chr19:58892427-58892427	-1
chr12:81101277-81103253	ENSG00000111046	MYF6	chr12:81101277-81101277	1
chr19:2867333-2878515	ENSG00000172000	ZNF556	chr19:2867333-2867333	1
chr12:81110691-81113452	ENSG00000111049	MYF5	chr12:81110691-81110691	1
chr19:2819872-2835771	ENSG00000172006	ZNF554	chr19:2819872-2819872	1
chr6:25727137-25727573	ENSG00000146047	HIST1H2BA	chr6:25727137-25727137	1
chr6:41514164-41570122	ENSG00000137166	FOXP4	chr6:41514164-41514164	1
chr19:20011722-20046384	ENSG00000184635	ZNF93	chr19:20011722-20011722	1
chr9:116169515-116172952	ENSG00000148229	POLE3	chr9:116172952-116172952	-1
chr12:54410715-54449814	ENSG00000198353	HOXC4	chr12:54410715-54410715	1
chr1:247263264-247267674	ENSG00000188295	ZNF669	chr1:247267674-247267674	-1
chr1:934342-935552	ENSG00000188290	HES4	chr1:935552-935552	-1
chr18:14377545-14378756	ENSG00000187589	TERF1P2	chr18:14378756-14378756	-1
chr7:28338940-28865511	ENSG00000146592	CREB5	chr7:28338940-28338940	1
chr20:50400581-50419059	ENSG00000101115	SALL4	chr20:50419059-50419059	-1
chr8:99956631-99964332	ENSG00000164920	OSR2	chr8:99956631-99956631	1
chr7:27210210-27219880	ENSG00000253293	HOXA10	chr7:27219880-27219880	-1
chr6:34204650-34214008	ENSG00000137309	HMGA1	chr6:34204650-34204650	1
chr5:170736288-170739138	ENSG00000164438	TLX3	chr5:170736288-170736288	1
chr16:71498453-71598992	ENSG00000157429	ZNF19	chr16:71598992-71598992	-1
chr6:50786436-50815326	ENSG00000008196	TFAP2B	chr6:50786436-50786436	1
chr6:50681541-50740701	ENSG00000008197	TFAP2D	chr6:50681541-50681541	1
chr3:75758794-75834734	ENSG00000227124	ZNF717	chr3:75834734-75834734	-1
chr8:10622473-10697394	ENSG00000254093	PINX1	chr8:10697394-10697394	-1
chr1:41972036-42501596	ENSG00000127124	HIVEP3	chr1:42501596-42501596	-1
chrX:47842756-47931025	ENSG00000221994	ZNF630	chrX:47931025-47931025	-1
chr19:57174020-57183151	ENSG00000127903	ZNF835	chr19:57183151-57183151	-1
chr9:110247133-110252763	ENSG00000136826	KLF4	chr9:110252763-110252763	-1
chr18:56529832-56653712	ENSG00000074657	ZNF532	chr18:56529832-56529832	1
chr1:156433519-156470620	ENSG00000116604	MEF2D	chr1:156470620-156470620	-1
chr7:99102274-99132323	ENSG00000196652	ZKSCAN5	chr7:99102274-99102274	1
chr6:41651716-41703997	ENSG00000112561	TFEB	chr6:41703997-41703997	-1
chr1:25226002-25291612	ENSG00000020633	RUNX3	chr1:25291612-25291612	-1
chrGL000223.1:42781-68787	ENSG00000218497	ZNF84	chrGL000223.1:68787-68787	-1
chr19:57922531-57933307	ENSG00000186272	ZNF17	chr19:57922531-57922531	1
chr19:58111253-58124090	ENSG00000183647	ZNF530	chr19:58111253-58111253	1
chr8:145998499-146012730	ENSG00000196378	ZNF34	chr8:146012730-146012730	-1
chr17:46652875-46657473	ENSG00000182742	HOXB4	chr17:46657473-46657473	-1
chr20:17937623-18039832	ENSG00000125850	OVOL2	chr20:18039832-18039832	-1
chr6:27782822-27783267	ENSG00000196374	HIST1H2BM	chr6:27782822-27782822	1
chr7:128577666-128590089	ENSG00000128604	IRF5	chr7:128577666-128577666	1
chr15:100940600-101085200	ENSG00000154227	CERS3	chr15:101085200-101085200	-1
chr19:18390563-18392432	ENSG00000130522	JUND	chr19:18392432-18392432	-1
chr19:9435021-9493293	ENSG00000188629	ZNF177	chr19:9435021-9435021	1
chr19:9404951-9420514	ENSG00000196110	ZNF699	chr19:9420514-9420514	-1
chr1:14026693-14151574	ENSG00000116731	PRDM2	chr1:14026693-14026693	1
chr8:76320149-76479078	ENSG00000164749	HNF4G	chr8:76320149-76320149	1
chr2:73143389-73162020	ENSG00000135638	EMX1	chr2:73143389-73143389	1
chr11:2289725-2292182	ENSG00000183734	ASCL2	chr11:2292182-2292182	-1
chr5:32531739-32604185	ENSG00000113387	SUB1	chr5:32531739-32531739	1
chr3:18386879-18487080	ENSG00000182568	SATB1	chr3:18487080-18487080	-1
chr11:612553-615999	ENSG00000185507	IRF7	chr11:615999-615999	-1
chr12:11802788-12048336	ENSG00000139083	ETV6	chr12:11802788-11802788	1
chr19:8271620-8327305	ENSG00000090661	CERS4	chr19:8271620-8271620	1
chr10:63661059-63856703	ENSG00000150347	ARID5B	chr10:63661059-63661059	1
chr22:50713408-50746056	ENSG00000196576	PLXNB2	chr22:50746056-50746056	-1
chr3:25215823-25639423	ENSG00000077092	RARB	chr3:25215823-25215823	1
chr5:133450402-133487556	ENSG00000081059	TCF7	chr5:133450402-133450402	1
chr17:17713713-17740325	ENSG00000072310	SREBF1	chr17:17740325-17740325	-1
chr12:133794898-133812681	ENSG00000227059	ANHX	chr12:133812681-133812681	-1
chr19:9862669-9903856	ENSG00000196605	ZNF846	chr19:9903856-9903856	-1
chr6:26115101-26124154	ENSG00000180596	HIST1H2BC	chr6:26124154-26124154	-1
chr22:35653445-35691800	ENSG00000100281	HMGXB4	chr22:35653445-35653445	1
chr19:13209847-13213975	ENSG00000104903	LYL1	chr19:13213975-13213975	-1
chr9:99578754-99637905	ENSG00000196597	ZNF782	chr9:99637905-99637905	-1
chr4:174446120-174451380	ENSG00000164107	HAND2	chr4:174451380-174451380	-1
chr4:174252846-174256276	ENSG00000164104	HMGB2	chr4:174256276-174256276	-1
chr3:44481262-44519162	ENSG00000185219	ZNF445	chr3:44519162-44519162	-1
chr7:4683388-4811074	ENSG00000164916	FOXK1	chr7:4683388-4683388	1
chr1:44584522-44600812	ENSG00000171872	KLF17	chr1:44584522-44584522	1
chr12:53901640-54020199	ENSG00000170653	ATF7	chr12:54020199-54020199	-1
chr19:53837002-53858122	ENSG00000213799	ZNF845	chr19:53837002-53837002	1
chr19:52359055-52394203	ENSG00000161551	ZNF577	chr19:52394203-52394203	-1
chr1:154975127-154990998	ENSG00000160685	ZBTB7B	chr1:154975127-154975127	1
chr8:125985540-125991631	ENSG00000180938	ZNF572	chr8:125985540-125985540	1
chr7:57187321-57207571	ENSG00000185177	ZNF479	chr7:57207571-57207571	-1
chr9:94171327-94186144	ENSG00000165030	NFIL3	chr9:94186144-94186144	-1
chr2:100163718-100759201	ENSG00000144218	AFF3	chr2:100759201-100759201	-1
chr16:52471917-52581714	ENSG00000103460	TOX3	chr16:52581714-52581714	-1
chr6:45295894-45632086	ENSG00000124813	RUNX2	chr6:45295894-45295894	1
chrX:153029651-153044801	ENSG00000198753	PLXNB3	chrX:153029651-153029651	1
chr19:11925099-11946016	ENSG00000171295	ZNF440	chr19:11925099-11925099	1
chr2:145141648-145282147	ENSG00000169554	ZEB2	chr2:145282147-145282147	-1
chr19:11959541-11994565	ENSG00000171291	ZNF439	chr19:11959541-11959541	1
chr19:52430400-52452012	ENSG00000176024	ZNF613	chr19:52430400-52430400	1
chr1:33005028-33071540	ENSG00000160062	ZBTB8A	chr1:33005028-33005028	1
chr8:10581278-10697357	ENSG00000171056	SOX7	chr8:10697357-10697357	-1
chr8:53023399-53373519	ENSG00000147488	ST18	chr8:53373519-53373519	-1
chr1:8412457-8877702	ENSG00000142599	RERE	chr1:8877702-8877702	-1
chr9:42717234-42720342	ENSG00000204828	FOXD4L2	chr9:42717234-42717234	1
chr12:108168162-108170421	ENSG00000187855	ASCL4	chr12:108168162-108168162	1
chr12:23682440-24103966	ENSG00000134532	SOX5	chr12:24103966-24103966	-1
chr9:129567285-129600489	ENSG00000169155	ZBTB43	chr9:129567285-129567285	1
chr4:83821837-83841122	ENSG00000168152	THAP9	chr4:83821837-83821837	1
chr19:17342692-17356749	ENSG00000160113	NR2F6	chr19:17356749-17356749	-1
chr7:96649704-96654409	ENSG00000105880	DLX5	chr7:96654409-96654409	-1
chr11:20177701-20182159	ENSG00000109851	DBX1	chr11:20182159-20182159	-1
chr16:11641853-11730237	ENSG00000189067	LITAF	chr16:11730237-11730237	-1
chr3:14989091-15095107	ENSG00000177463	NR2C2	chr3:14989091-14989091	1
chr17:26691290-26697373	ENSG00000109072	SEBOX	chr17:26697373-26697373	-1
chr13:41129804-41240734	ENSG00000150907	FOXO1	chr13:41240734-41240734	-1
chr12:8185299-8208099	ENSG00000065970	FOXJ2	chr12:8185299-8185299	1
chr6:137813336-137815531	ENSG00000177468	OLIG3	chr6:137815531-137815531	-1
chr4:54965690-54968672	ENSG00000180613	GSX2	chr4:54965690-54965690	1
chr1:43148098-43168020	ENSG00000065978	YBX1	chr1:43148098-43148098	1
chrX:84498997-84528368	ENSG00000147180	ZNF711	chrX:84498997-84498997	1
chr13:28494157-28500368	ENSG00000139515	PDX1	chr13:28494157-28494157	1
chr17:8023908-8027410	ENSG00000179111	HES7	chr17:8027410-8027410	-1
chr15:72084977-72110600	ENSG00000031544	NR2E3	chr15:72084977-72084977	1
chr2:160175490-160473203	ENSG00000123636	BAZ2B	chr2:160473203-160473203	-1
chr13:31032884-31191734	ENSG00000189403	HMGB1	chr13:31191734-31191734	-1
chr2:219845809-219850379	ENSG00000163497	FEV	chr2:219850379-219850379	-1
chr7:27202054-27210117	ENSG00000078399	HOXA9	chr7:27210117-27210117	-1
chr1:197122810-197169672	ENSG00000177888	ZBTB41	chr1:197169672-197169672	-1
chr19:58545400-58565999	ENSG00000152467	ZSCAN1	chr19:58545400-58545400	1
chr18:55102917-55158529	ENSG00000119547	ONECUT2	chr18:55102917-55102917	1
chr1:227751236-227847594	ENSG00000181450	ZNF678	chr1:227751236-227751236	1
chr19:48322703-48346587	ENSG00000105392	CRX	chr19:48322703-48322703	1
chr11:6947635-7005863	ENSG00000149054	ZNF215	chr11:6947635-6947635	1
chr11:7020549-7041599	ENSG00000149050	ZNF214	chr11:7041599-7041599	-1
chr8:57073463-57123883	ENSG00000181690	PLAG1	chr8:57123883-57123883	-1
chr17:53342373-53402426	ENSG00000108924	HLF	chr17:53342373-53342373	1
chr1:159032274-159116886	ENSG00000163568	AIM2	chr1:159116886-159116886	-1
chr1:158969758-159024945	ENSG00000163565	IFI16	chr1:158969758-158969758	1
chr1:158900586-158946844	ENSG00000163564	PYHIN1	chr1:158900586-158900586	1
chr9:138585253-138591374	ENSG00000165643	SOHLH1	chr9:138591374-138591374	-1
chr1:158801107-158819296	ENSG00000163563	MNDA	chr1:158801107-158801107	1
chr16:4560676-4588829	ENSG00000089486	CDIP1	chr16:4588829-4588829	-1
chr4:103422486-103538459	ENSG00000109320	NFKB1	chr4:103422486-103422486	1
chr19:3359561-3469215	ENSG00000141905	NFIC	chr19:3359561-3359561	1
chr7:5023349-5112854	ENSG00000146587	RBAK	chr7:5023349-5023349	1
chr20:35201891-35222353	ENSG00000118707	TGIF2	chr20:35201891-35201891	1
chr16:30389427-30411429	ENSG00000180035	ZNF48	chr16:30389427-30389427	1
chr10:124895478-124897257	ENSG00000188620	HMX3	chr10:124895478-124895478	1
chr19:33790840-33793470	ENSG00000245848	CEBPA	chr19:33793470-33793470	-1
chr20:50003494-50179168	ENSG00000101096	NFATC2	chr20:50179168-50179168	-1
chr1:47681962-47697892	ENSG00000162367	TAL1	chr1:47697892-47697892	-1
chr16:3162561-3170518	ENSG00000122386	ZNF205	chr16:3162561-3162561	1
chr2:213864429-214017151	ENSG00000030419	IKZF2	chr2:214017151-214017151	-1
chr20:39314488-39317880	ENSG00000204103	MAFB	chr20:39317880-39317880	-1
chrX:79270255-79287268	ENSG00000122145	TBX22	chrX:79270255-79270255	1
chr8:182137-197342	ENSG00000172748	ZNF596	chr8:182137-182137	1
chr1:33938246-33962107	ENSG00000121903	ZSCAN20	chr1:33938246-33938246	1
chr20:48807376-48809212	ENSG00000172216	CEBPB	chr20:48807376-48807376	1
chr11:58346584-58388515	ENSG00000186660	ZFP91	chr11:58346584-58346584	1
chr6:10393419-10419892	ENSG00000137203	TFAP2A	chr6:10419892-10419892	-1
chr5:134363425-134370503	ENSG00000069011	PITX1	chr5:134370503-134370503	-1
chr10:45495923-45500774	ENSG00000165512	ZNF22	chr10:45495923-45495923	1
chr8:81397854-81438500	ENSG00000205189	ZBTB10	chr8:81397854-81397854	1
chr3:44596685-44635665	ENSG00000196345	ZKSCAN7	chr3:44596685-44596685	1
chr20:18269121-18297640	ENSG00000125846	ZNF133	chr20:18269121-18269121	1
chr7:121941448-121950745	ENSG00000128610	FEZF1	chr7:121950745-121950745	-1
chr12:66217911-66360075	ENSG00000149948	HMGA2	chr12:66217911-66217911	1
chr1:161009041-161015767	ENSG00000158773	USF1	chr1:161015767-161015767	-1
chrX:153686621-153701989	ENSG00000130827	PLXNA3	chrX:153686621-153686621	1
chr7:92076767-92088150	ENSG00000157259	GATAD1	chr7:92076767-92076767	1
chr6:143072604-143266338	ENSG00000010818	HIVEP2	chr6:143266338-143266338	-1
chr9:33290509-33371155	ENSG00000086102	NFX1	chr9:33290509-33290509	1
chr19:12540521-12551926	ENSG00000180855	ZNF443	chr19:12551926-12551926	-1
chr13:95361886-95364389	ENSG00000125285	SOX21	chr13:95364389-95364389	-1
chr7:155250824-155257526	ENSG00000164778	EN2	chr7:155250824-155250824	1
chr18:45553044-45937123	ENSG00000184828	ZBTB7C	chr18:45937123-45937123	-1
chr10:118888032-118897812	ENSG00000148704	VAX1	chr10:118897812-118897812	-1
chr20:42136320-42179590	ENSG00000185513	L3MBTL1	chr20:42136320-42136320	1
chr15:76629065-76634817	ENSG00000159556	ISL2	chr15:76629065-76629065	1
chr20:61472467-61493115	ENSG00000101190	TCFL5	chr20:61493115-61493115	-1
chr20:42984340-43060030	ENSG00000101076	HNF4A	chr20:42984340-42984340	1
chr7:148892577-148923339	ENSG00000170265	ZNF282	chr7:148892577-148892577	1
chr1:208195587-208417665	ENSG00000076356	PLXNA2	chr1:208417665-208417665	-1
chr7:148936742-148952700	ENSG00000170260	ZNF212	chr7:148936742-148936742	1
chr19:44472014-44502477	ENSG00000204920	ZNF155	chr19:44472014-44472014	1
chr8:103661007-103668130	ENSG00000155090	KLF10	chr8:103668130-103668130	-1
chr2:172949468-172954405	ENSG00000144355	DLX1	chr2:172949468-172949468	1
chr1:150782181-150849244	ENSG00000143437	ARNT	chr1:150849244-150849244	-1
chr19:13106422-13209610	ENSG00000008441	NFIX	chr19:13106422-13106422	1
chr19:22115760-22193751	ENSG00000160321	ZNF208	chr19:22193751-22193751	-1
chr9:77112281-77302117	ENSG00000198963	RORB	chr9:77112281-77112281	1
chr7:99156029-99205433	ENSG00000197343	ZNF655	chr7:99156029-99156029	1
chr17:41605212-41656988	ENSG00000175832	ETV4	chr17:41656988-41656988	-1
chr6:36322419-36356164	ENSG00000010030	ETV7	chr6:36356164-36356164	-1
chr5:174151536-174157896	ENSG00000120149	MSX2	chr5:174151536-174151536	1
chr20:48599536-48605423	ENSG00000124216	SNAI1	chr20:48599536-48599536	1
chr7:99613204-99639312	ENSG00000106261	ZKSCAN1	chr7:99613204-99613204	1
chr13:79172497-79177673	ENSG00000152192	POU4F1	chr13:79177673-79177673	-1
chr5:178450753-178462065	ENSG00000234284	ZNF879	chr5:178450753-178450753	1
chr19:49384222-49401990	ENSG00000104804	TULP2	chr19:49401990-49401990	-1
chr6:10873456-10882174	ENSG00000124827	GCM2	chr6:10882174-10882174	-1
chr16:3432085-3451065	ENSG00000140987	ZSCAN32	chr16:3451065-3451065	-1
chr20:32263489-32274210	ENSG00000101412	E2F1	chr20:32274210-32274210	-1
chr3:42947223-42960825	ENSG00000182983	ZNF662	chr3:42947223-42947223	1
chr19:53367043-53400946	ENSG00000182986	ZNF320	chr19:53400946-53400946	-1
chr19:58694396-58724928	ENSG00000171606	ZNF274	chr19:58694396-58694396	1
chr10:43932282-43991517	ENSG00000243660	ZNF487	chr10:43932282-43932282	1
chr16:54317216-54320675	ENSG00000177508	IRX3	chr16:54320675-54320675	-1
chr15:35270542-35280488	ENSG00000198146	ZNF770	chr15:35280488-35280488	-1
chr19:37803739-37860267	ENSG00000181666	HKR1	chr19:37803739-37803739	1
chr11:100900355-101001255	ENSG00000082175	PGR	chr11:101001255-101001255	-1
chr1:6640061-6649340	ENSG00000204859	ZBTB48	chr1:6640061-6640061	1
chr15:60780483-61521518	ENSG00000069667	RORA	chr15:61521518-61521518	-1
chr16:86600857-86602539	ENSG00000176692	FOXC2	chr16:86600857-86600857	1
chr6:126068810-126082415	ENSG00000135547	HEY2	chr6:126068810-126068810	1
chr1:153777201-153895451	ENSG00000143614	GATAD2B	chr1:153895451-153895451	-1
chr4:2249159-2264021	ENSG00000123933	MXD4	chr4:2264021-2264021	-1
chr5:176728462-176739758	ENSG00000213347	MXD3	chr5:176739758-176739758	-1
chrX:129198849-129244691	ENSG00000102034	ELF4	chrX:129244691-129244691	-1
chrX:49106897-49121288	ENSG00000049768	FOXP3	chrX:49121288-49121288	-1
chrX:56258854-56314322	ENSG00000102349	KLF8	chrX:56258854-56258854	1
chr22:21771693-21805752	ENSG00000169635	HIC2	chr22:21771693-21771693	1
chr1:151142463-151167797	ENSG00000163159	VPS72	chr1:151167797-151167797	-1
chr9:129376722-129463311	ENSG00000136944	LMX1B	chr9:129376722-129376722	1
chr17:5082831-5095178	ENSG00000180626	ZNF594	chr17:5095178-5095178	-1
chr19:44029649-44040282	ENSG00000176472	ZNF575	chr19:44029649-44029649	1
chr4:113434672-113437328	ENSG00000178403	NEUROG2	chr4:113437328-113437328	-1
chr7:115575202-115799950	ENSG00000105967	TFEC	chr7:115799950-115799950	-1
chr10:38299578-38354016	ENSG00000189180	ZNF33A	chr10:38299578-38299578	1
chr8:28747911-28922281	ENSG00000147421	HMBOX1	chr8:28747911-28747911	1
chr3:40518604-40531727	ENSG00000177873	ZNF619	chr3:40518604-40518604	1
chr6:157099063-157531913	ENSG00000049618	ARID1B	chr6:157099063-157099063	1
