Gene Symbol	Annotation ID	Synonyms	Gene Description	Species	RNA-binding Domains	Number of experiments	Homologs
NONO	ENSG00000147140	NRB54; NMT55; P54NRB; P54	"non-POU domain containing, octamer-binding [Source:HGNC Symbol;Acc:7871]"	Homo sapiens	RRMx2	7	8
NOVA1	ENSG00000139910		neuro-oncological ventral antigen 1 [Source:HGNC Symbol;Acc:7886]	Homo sapiens	KHx1	4	5
NOVA2	ENSG00000104967	ANOVA	neuro-oncological ventral antigen 2 [Source:HGNC Symbol;Acc:7887]	Homo sapiens	KHx3	2	5
NSUN6	ENSG00000241058	FLJ23743	"NOP2/Sun domain family, member 6 [Source:HGNC Symbol;Acc:23529]"	Homo sapiens	PUAx1	0	0
NUFIP1	ENSG00000083635		nuclear fragile X mental retardation protein interacting protein 1 [Source:HGNC Symbol;Acc:8057]	Homo sapiens	Znf_C2H2x1	2	2
NUPL2	ENSG00000136243	NLP_1; CG1; hCG1; H_RG271G13.9	nucleoporin like 2 [Source:HGNC Symbol;Acc:17010]	Homo sapiens	Znf_CCCHx1	0	3
PABPC1	ENSG00000070756	PABP1; PABPL1	"poly(A) binding protein, cytoplasmic 1 [Source:HGNC Symbol;Acc:8554]"	Homo sapiens	RRMx4	10	10
PABPC1L	ENSG00000101104	dJ1069P2.3; PABPC1L1; ePAB	"poly(A) binding protein, cytoplasmic 1-like [Source:HGNC Symbol;Acc:15797]"	Homo sapiens	RRMx4	0	10
PABPC1L2A	ENSG00000186288		"poly(A) binding protein, cytoplasmic 1-like 2A [Source:HGNC Symbol;Acc:27989]"	Homo sapiens	RRMx2	0	0
PABPC1L2B	ENSG00000184388		"poly(A) binding protein, cytoplasmic 1-like 2B [Source:HGNC Symbol;Acc:31852]"	Homo sapiens	RRMx2	0	0
PABPC3	ENSG00000151846	PABP3; tPABP	"poly(A) binding protein, cytoplasmic 3 [Source:HGNC Symbol;Acc:8556]"	Homo sapiens	RRMx4	0	9
PABPC4	ENSG00000090621	iPABP; APP-1	"poly(A) binding protein, cytoplasmic 4 (inducible form) [Source:HGNC Symbol;Acc:8557]"	Homo sapiens	RRMx4	3	10
PABPC4L	ENSG00000233034		"poly(A) binding protein, cytoplasmic 4-like [Source:HGNC Symbol;Acc:31955]"	Homo sapiens	RRMx4	0	0
PABPC5	ENSG00000174740	PABP5	"poly(A) binding protein, cytoplasmic 5 [Source:HGNC Symbol;Acc:13629]"	Homo sapiens	RRMx4	0	1
PABPN1	ENSG00000100836	PAB2	"poly(A) binding protein, nuclear 1 [Source:HGNC Symbol;Acc:8565]"	Homo sapiens	RRMx1	1	2
PABPN1L	ENSG00000205022	ePABP2	"poly(A) binding protein, nuclear 1-like (cytoplasmic) [Source:HGNC Symbol;Acc:37237]"	Homo sapiens	RRMx1	0	1
PAN3	ENSG00000152520		PAN3 poly(A) specific ribonuclease subunit homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:29991]	Homo sapiens	Znf_CCCHx1	0	0
PARN	ENSG00000140694	DAN	poly(A)-specific ribonuclease (deadenylation nuclease) [Source:HGNC Symbol;Acc:8609]	Homo sapiens	RRMx1	1	1
PARP10	ENSG00000178685	FLJ14464	"poly (ADP-ribose) polymerase family, member 10 [Source:HGNC Symbol;Acc:25895]"	Homo sapiens	RRMx1	0	0
PARP12	ENSG00000059378	FLJ22693; PARP-12; ZC3H1	"poly (ADP-ribose) polymerase family, member 12 [Source:HGNC Symbol;Acc:21919]"	Homo sapiens	Znf_CCCHx3	0	1
PARP14	ENSG00000173193	KIAA1268; pART8	"poly (ADP-ribose) polymerase family, member 14 [Source:HGNC Symbol;Acc:29232]"	Homo sapiens	RRMx1	0	1
PCBP1	ENSG00000169564	HNRPE1; hnRNP-E1; HNRPX; hnRNP-X	poly(rC) binding protein 1 [Source:HGNC Symbol;Acc:8647]	Homo sapiens	KHx3	15	8
PCBP2	ENSG00000197111	HNRPE2; hnRNP-E2	poly(rC) binding protein 2 [Source:HGNC Symbol;Acc:8648]	Homo sapiens	KHx3	23	8
PCBP3	ENSG00000183570		poly(rC) binding protein 3 [Source:HGNC Symbol;Acc:8651]	Homo sapiens	KHx3	0	8
PCBP4	ENSG00000090097	MCG10; LIP4	poly(rC) binding protein 4 [Source:HGNC Symbol;Acc:8652]	Homo sapiens	KHx3	0	5
PDCD11	ENSG00000148843	KIAA0185; ALG-4	programmed cell death 11 [Source:HGNC Symbol;Acc:13408]	Homo sapiens	S1x13	0	3
PNO1	ENSG00000115946		partner of NOB1 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:32790]	Homo sapiens	KHx1	0	3
PNPT1	ENSG00000138035	PNPase; OLD35; old-35	polyribonucleotide nucleotidyltransferase 1 [Source:HGNC Symbol;Acc:23166]	Homo sapiens	KHx1; S1x1	2	2
POLDIP3	ENSG00000100227	PDIP46; KIAA1649	"polymerase (DNA-directed), delta interacting protein 3 [Source:HGNC Symbol;Acc:23782]"	Homo sapiens	RRMx1	0	1
POLR2G	ENSG00000168002	hRPB19; hsRPB7; RPB7	polymerase (RNA) II (DNA directed) polypeptide G [Source:HGNC Symbol;Acc:9194]	Homo sapiens	S1x1	0	3
PPARGC1A	ENSG00000109819	PGC1; PGC1A	"peroxisome proliferator-activated receptor gamma, coactivator 1 alpha [Source:HGNC Symbol;Acc:9237]"	Homo sapiens	RRMx1	0	1
PPARGC1B	ENSG00000155846	PERC; PGC1B	"peroxisome proliferator-activated receptor gamma, coactivator 1 beta [Source:HGNC Symbol;Acc:30022]"	Homo sapiens	RRMx1	0	1
PPIE	ENSG00000084072	CyP-33; MGC3736; MGC111222	peptidylprolyl isomerase E (cyclophilin E) [Source:HGNC Symbol;Acc:9258]	Homo sapiens	RRMx1	7	3
PPIL4	ENSG00000131013		peptidylprolyl isomerase (cyclophilin)-like 4 [Source:HGNC Symbol;Acc:15702]	Homo sapiens	RRMx1	0	3
PPP1R10	ENSG00000204569		Serine/threonine-protein phosphatase 1 regulatory subunit 10 (Phosphatase 1 nuclear targeting subunit)(MHC class I region proline-rich protein CAT53)(FB19 protein)(PP1-binding protein of 114 kDa)(p99) [Source:UniProtKB/Swiss-Prot;Acc:Q96QC0]	Homo sapiens	Znf_CCCHx1	0	4
PPRC1	ENSG00000148840	PRC; KIAA0595; MGC74642	"peroxisome proliferator-activated receptor gamma, coactivator-related 1 [Source:HGNC Symbol;Acc:30025]"	Homo sapiens	RRMx1	0	1
PRPF3	ENSG00000117360	Prp3; HPRP3	PRP3 pre-mRNA processing factor 3 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:17348]	Homo sapiens	PWIx1	0	1
PRR3	ENSG00000204576		Proline-rich protein 3 (MHC class I region proline-rich protein CAT56) [Source:UniProtKB/Swiss-Prot;Acc:P79522]	Homo sapiens	Znf_CCCHx1	0	2
PSPC1	ENSG00000121390	PSP1; FLJ10955	paraspeckle component 1 [Source:HGNC Symbol;Acc:20320]	Homo sapiens	RRMx2	0	8
PTBP1	ENSG00000011304	HNRPI; HNRNP-I; PTB2; PTB3; PTB-1; PTB4; pPTB	polypyrimidine tract binding protein 1 [Source:HGNC Symbol;Acc:9583]	Homo sapiens	RRMx4	61	7
PTBP2	ENSG00000117569	brPTB; nPTB; PTB; PTBLP	polypyrimidine tract binding protein 2 [Source:HGNC Symbol;Acc:17662]	Homo sapiens	RRMx4	2	7
PUF60	ENSG00000179950	FIR; SIAHBP1; RoBPI	poly-U binding splicing factor 60KDa [Source:HGNC Symbol;Acc:17042]	Homo sapiens	RRMx3	1	3
PUM1	ENSG00000134644	PUMH1; KIAA0099	pumilio homolog 1 (Drosophila) [Source:HGNC Symbol;Acc:14957]	Homo sapiens	PUMx1	18	5
PUM2	ENSG00000055917	PUMH2; KIAA0235	pumilio homolog 2 (Drosophila) [Source:HGNC Symbol;Acc:14958]	Homo sapiens	PUMx1	3	5
QKI	ENSG00000112531	QK3	"quaking homolog, KH domain RNA binding (mouse) [Source:HGNC Symbol;Acc:21100]"	Homo sapiens	KHx1	10	3
RALY	ENSG00000125970	P542; HNRPCL2	"RNA binding protein, autoantigenic (hnRNP-associated with lethal yellow homolog (mouse)) [Source:HGNC Symbol;Acc:15921]"	Homo sapiens	RRMx1	0	5
RALYL	ENSG00000184672	HNRPCL3	RALY RNA binding protein-like [Source:HGNC Symbol;Acc:27036]	Homo sapiens		0	5
RAVER1	ENSG00000161847	KIAA1978	"ribonucleoprotein, PTB-binding 1 [Source:HGNC Symbol;Acc:30296]"	Homo sapiens	RRMx3	0	1
RAVER2	ENSG00000162437	KIAA1579; FLJ10770	"ribonucleoprotein, PTB-binding 2 [Source:HGNC Symbol;Acc:25577]"	Homo sapiens	RRMx3	0	1
RBM10	ENSG00000182872	DXS8237E; KIAA0122; GPATC9; ZRANB5; GPATCH9	RNA binding motif protein 10 [Source:HGNC Symbol;Acc:9896]	Homo sapiens	RRMx2; Znf_C2H2x1; Znf_RanBP2x1	0	6
RBM11	ENSG00000185272		RNA binding motif protein 11 [Source:HGNC Symbol;Acc:9897]	Homo sapiens	RRMx1	0	1
RBM12	ENSG00000244462	HRIHFB2091; KIAA0765; SWAN	RNA binding motif protein 12 [Source:HGNC Symbol;Acc:9898]	Homo sapiens	RRMx4	0	0
RBM12B	ENSG00000183808		RNA binding motif protein 12B [Source:HGNC Symbol;Acc:32310]	Homo sapiens	RRMx5	0	4
RBM14	ENSG00000239306	SIP; SYTIP1; COAA; DKFZp779J0927	RNA binding motif protein 14 [Source:HGNC Symbol;Acc:14219]	Homo sapiens	RRMx2	0	0
RBM15	ENSG00000162775	OTT; OTT1	RNA binding motif protein 15 [Source:HGNC Symbol;Acc:14959]	Homo sapiens	RRMx3	0	5
RBM15B	ENSG00000179837	HUMAGCGB; OTT3	RNA binding motif protein 15B [Source:HGNC Symbol;Acc:24303]	Homo sapiens	RRMx3	0	5
RBM16	ENSG00000213079	KIAA1116	RNA binding motif protein 16 [Source:HGNC Symbol;Acc:20959]	Homo sapiens	RRMx1	0	5
RBM17	ENSG00000134453	SPF45; MGC14439	RNA binding motif protein 17 [Source:HGNC Symbol;Acc:16944]	Homo sapiens	RRMx1	0	3
RBM18	ENSG00000119446	MGC2734	RNA binding motif protein 18 [Source:HGNC Symbol;Acc:28413]	Homo sapiens	RRMx1	0	2
RBM19	ENSG00000122965	DKFZp586F1023; KIAA0682	RNA binding motif protein 19 [Source:HGNC Symbol;Acc:29098]	Homo sapiens	RRMx6	0	3
RBM20	ENSG00000203867		RNA binding motif protein 20 [Source:HGNC Symbol;Acc:27424]	Homo sapiens	RRMx1; Znf_C2H2x2	0	0
RBM22	ENSG00000086589	FLJ10290; ZC3H16; fSAP47; Cwc2	RNA binding motif protein 22 [Source:HGNC Symbol;Acc:25503]	Homo sapiens	RRMx1; Znf_CCHCx1; Znf_CCCHx1	0	3
RBM23	ENSG00000100461	FLJ10482	RNA binding motif protein 23 [Source:HGNC Symbol;Acc:20155]	Homo sapiens	RRMx2	0	2
RBM24	ENSG00000112183	FLJ30829; dJ259A10.1	RNA binding motif protein 24 [Source:HGNC Symbol;Acc:21539]	Homo sapiens	RRMx1	0	3
RBM25	ENSG00000119707	S164; fSAP94; NET52; Snu71	RNA binding motif protein 25 [Source:HGNC Symbol;Acc:23244]	Homo sapiens	RRMx1; PWIx1	0	3
RBM26	ENSG00000139746	PRO1777; SE70-2; FLJ20957; ZC3H17; ARRS2	RNA binding motif protein 26 [Source:HGNC Symbol;Acc:20327]	Homo sapiens	RRMx2; Znf_CCCHx1	0	5
RBM27	ENSG00000091009	KIAA1311; ARRS1; Psc1	RNA binding motif protein 27 [Source:HGNC Symbol;Acc:29243]	Homo sapiens	RRMx1; Znf_CCCHx1	0	5
RBM28	ENSG00000106344	FLJ10377	RNA binding motif protein 28 [Source:HGNC Symbol;Acc:21863]	Homo sapiens	RRMx4	0	3
RBM3	ENSG00000102317	IS1-RNPL	"RNA binding motif (RNP1, RRM) protein 3 [Source:HGNC Symbol;Acc:9900]"	Homo sapiens	RRMx1	0	4
RBM33	ENSG00000184863	DKFZp686F102; MGC20460; DKFZp434D1319	RNA binding motif protein 33 [Source:HGNC Symbol;Acc:27223]	Homo sapiens	RRMx1	0	1
RBM34	ENSG00000188739	KIAA0117	RNA binding motif protein 34 [Source:HGNC Symbol;Acc:28965]	Homo sapiens	RRMx2	0	3
RBM38	ENSG00000132819	HSRNASEB; SEB4D; seb4B; dJ800J21.2	RNA binding motif protein 38 [Source:HGNC Symbol;Acc:15818]	Homo sapiens	RRMx1	1	3
RBM39	ENSG00000131051	CC1.3; HCC1; CAPER; fSAP59	RNA binding motif protein 39 [Source:HGNC Symbol;Acc:15923]	Homo sapiens	RRMx3	0	4
RBM4	ENSG00000173933	LARK; RBM4A; ZCRB3A; ZCCHC21	RNA binding motif protein 4 [Source:HGNC Symbol;Acc:9901]	Homo sapiens	RRMx2; Znf_CCHCx1	2	1
RBM41	ENSG00000089682	FLJ11016	RNA binding motif protein 41 [Source:HGNC Symbol;Acc:25617]	Homo sapiens	RRMx1	0	1
RBM42	ENSG00000126254	MGC10433	RNA binding motif protein 42 [Source:HGNC Symbol;Acc:28117]	Homo sapiens	RRMx1	0	2
RBM43	ENSG00000184898	FLJ45645	RNA binding motif protein 43 [Source:HGNC Symbol;Acc:24790]	Homo sapiens	RRMx1; Lax1	0	1
RBM44	ENSG00000177483	FLJ40411	RNA binding motif protein 44 [Source:HGNC Symbol;Acc:24756]	Homo sapiens	RRMx1	0	1
RBM45	ENSG00000155636	DRB1; FLJ44612	RNA binding motif protein 45 [Source:HGNC Symbol;Acc:24468]	Homo sapiens	RRMx4	0	2
RBM46	ENSG00000151962	MGC27016; CT68	RNA binding motif protein 46 [Source:HGNC Symbol;Acc:28401]	Homo sapiens	RRMx3	0	1
RBM47	ENSG00000163694	FLJ20273; NET18	RNA binding motif protein 47 [Source:HGNC Symbol;Acc:30358]	Homo sapiens	RRMx3	0	1
RBM4B	ENSG00000173914	MGC10871; ZCCHC15; RBM4L; ZCRB3B	RNA binding motif protein 4B [Source:HGNC Symbol;Acc:28842]	Homo sapiens	RRMx2; Znf_CCHCx1	0	2
RBM5	ENSG00000003756	LUCA15; H37	RNA binding motif protein 5 [Source:HGNC Symbol;Acc:9902]	Homo sapiens	RRMx2; Znf_C2H2x1	2	6
RBM6	ENSG00000004534	DEF-3; 3G2; NY-LU-12; g16; DEF3	RNA binding motif protein 6 [Source:HGNC Symbol;Acc:9903]	Homo sapiens	RRMx2	0	1
RBM7	ENSG00000076053		RNA binding motif protein 7 [Source:HGNC Symbol;Acc:9904]	Homo sapiens	RRMx1	0	2
RBM8A	ENSG00000131795	ZNRP; BOV-1A; BOV-1B; BOV-1C; RBM8B; Y14	RNA binding motif protein 8A [Source:HGNC Symbol;Acc:9905]	Homo sapiens	RRMx1	0	3
RBM9	ENSG00000100320	HNRBP2; FOX-2	RNA binding motif protein 9 [Source:HGNC Symbol;Acc:9906]	Homo sapiens	RRMx1	1	4
RBMS1	ENSG00000153250	SCR2; MSSP-1; MSSP-2; MSSP-3; YC1; HCC-4; DKFZp564H0764	"RNA binding motif, single stranded interacting protein 1 [Source:HGNC Symbol;Acc:9907]"	Homo sapiens	RRMx2	0	7
RBMS2	ENSG00000076067	SCR3	"RNA binding motif, single stranded interacting protein 2 [Source:HGNC Symbol;Acc:9909]"	Homo sapiens	RRMx2	2	7
RBMS3	ENSG00000144642		"RNA binding motif, single stranded interacting protein [Source:HGNC Symbol;Acc:13427]"	Homo sapiens	RRMx2	0	7
RBMX	ENSG00000147274	RNMX; hnRNP-G	"RNA binding motif protein, X-linked [Source:HGNC Symbol;Acc:9910]"	Homo sapiens	RRMx1	1	1
RBMX2	ENSG00000134597	CGI-79	"RNA binding motif protein, X-linked 2 [Source:HGNC Symbol;Acc:24282]"	Homo sapiens	RRMx1	0	2
RBMXL1	ENSG00000213516	KAT3	"RNA binding motif protein, X-linked-like 1 [Source:HGNC Symbol;Acc:25073]"	Homo sapiens	RRMx1	0	0
RBMXL2	ENSG00000170748	HNRNPG-T; HNRPGT	"RNA binding motif protein, X-linked-like 2 [Source:HGNC Symbol;Acc:17886]"	Homo sapiens	RRMx1	3	1
RBMXL3	ENSG00000175718	FLJ40249	"RNA binding motif protein, X-linked-like 3 [Source:HGNC Symbol;Acc:26859]"	Homo sapiens	RRMx1	0	0
RBMY1A1	ENSG00000234414	YRRM1; YRRM2	"RNA binding motif protein, Y-linked, family 1, member A1 [Source:HGNC Symbol;Acc:9912]"	Homo sapiens	RRMx1	3	0
RBMY1B	ENSG00000242875		"RNA binding motif protein, Y-linked, family 1, member B [Source:HGNC Symbol;Acc:23914]"	Homo sapiens	RRMx1	0	0
RBMY1D	ENSG00000244395		"RNA binding motif protein, Y-linked, family 1, member D [Source:HGNC Symbol;Acc:23915]"	Homo sapiens	RRMx1	0	0
RBMY1E	ENSG00000242389		"RNA binding motif protein, Y-linked, family 1, member E [Source:HGNC Symbol;Acc:23916]"	Homo sapiens	RRMx1	0	0
RBMY1F	ENSG00000169800	MGC33094	"RNA binding motif protein, Y-linked, family 1, member F [Source:HGNC Symbol;Acc:23974]"	Homo sapiens	RRMx1	0	0
RBMY1J	ENSG00000226941		"RNA binding motif protein, Y-linked, family 1, member J [Source:HGNC Symbol;Acc:23917]"	Homo sapiens	RRMx1	0	0
RBPMS	ENSG00000157110	HERMES	RNA binding protein with multiple splicing [Source:HGNC Symbol;Acc:19097]	Homo sapiens	RRMx1	0	3
RBPMS2	ENSG00000166831		RNA binding protein with multiple splicing 2 [Source:HGNC Symbol;Acc:19098]	Homo sapiens	RRMx1	0	3
RC3H1	ENSG00000135870	KIAA2025; roquin; RP5-1198E17.5; RNF198	ring finger and CCCH-type zinc finger domains 1 [Source:HGNC Symbol;Acc:29434]	Homo sapiens	Znf_CCCHx1; Znf_RINGx1	0	4
RC3H2	ENSG00000056586	FLJ20301; FLJ20713; RNF164	ring finger and CCCH-type zinc finger domains 2 [Source:HGNC Symbol;Acc:21461]	Homo sapiens	Znf_CCCHx1; Znf_RING	0	4
RCAN2	ENSG00000172348	ZAKI-4	regulator of calcineurin 2 [Source:HGNC Symbol;Acc:3041]	Homo sapiens	RRMx1	0	1
RDM1	ENSG00000187456	MGC33977	RAD52 motif 1 [Source:HGNC Symbol;Acc:19950]	Homo sapiens	RRMx1	1	1
RNF113A	ENSG00000125352	RNF113; Cwc24	ring finger protein 113A [Source:HGNC Symbol;Acc:12974]	Homo sapiens	Znf_CCCHx1; Znf_RINGx1	0	5
RNF113B	ENSG00000139797	RNF161	ring finger protein 113B [Source:HGNC Symbol;Acc:17267]	Homo sapiens	Znf_CCCHx1; Znf_RINGx1	0	4
RNPC3	ENSG00000185946	KIAA1839; FLJ20008; RBM40	"RNA-binding region (RNP1, RRM) containing 3 [Source:HGNC Symbol;Acc:18666]"	Homo sapiens	RRMx2	0	0
RNPS1	ENSG00000205937		"RNA binding protein S1, serine-rich domain [Source:HGNC Symbol;Acc:10080]"	Homo sapiens	RRMx1	0	3
ROD1	ENSG00000119314	PTBP3	ROD1 regulator of differentiation 1 (S. pombe) [Source:HGNC Symbol;Acc:10253]	Homo sapiens	RRMx4	0	7
RPS3	ENSG00000149273	FLJ26283; FLJ27450; MGC87870	ribosomal protein S3 [Source:HGNC Symbol;Acc:10420]	Homo sapiens		0	2
RRP7A	ENSG00000189306	CGI-96	ribosomal RNA processing 7 homolog A (S. cerevisiae) [Source:HGNC Symbol;Acc:24286]	Homo sapiens	RRMx1	0	2
SAFB	ENSG00000160633	HET; SAFB1	scaffold attachment factor B [Source:HGNC Symbol;Acc:10520]	Homo sapiens	RRMx1	0	7
SAFB2	ENSG00000130254	KIAA0138	scaffold attachment factor B2 [Source:HGNC Symbol;Acc:21605]	Homo sapiens	RRMx1	0	7
SAMD14	ENSG00000167100	FLJ36890	sterile alpha motif domain containing 14 [Source:HGNC Symbol;Acc:27312]	Homo sapiens	SAMx1	0	1
SAMD4A	ENSG00000020577	KIAA1053; DKFZP434H0350; Smaug; SMG; SMGA; hSmaug1	sterile alpha motif domain containing 4A [Source:HGNC Symbol;Acc:23023]	Homo sapiens	SAMx1	0	3
SAMD4B	ENSG00000179134	FLJ10211; MGC99832; SMGB; hSmaug2	sterile alpha motif domain containing 4B [Source:HGNC Symbol;Acc:25492]	Homo sapiens	SAMx1	0	3
SART3	ENSG00000075856	KIAA0156; RP11-13G14	squamous cell carcinoma antigen recognized by T cells 3 [Source:HGNC Symbol;Acc:16860]	Homo sapiens	RRMx2; Lsmx1	3	3
SETD1A	ENSG00000099381	KIAA0339; Set1; KMT2F	SET domain containing 1A [Source:HGNC Symbol;Acc:29010]	Homo sapiens	RRMx1	0	2
SETD1B	ENSG00000139718	KIAA1076; Set1B; KMT2G	SET domain containing 1B [Source:HGNC Symbol;Acc:29187]	Homo sapiens	RRMx1	0	2
SF1	ENSG00000168066	ZFM1	splicing factor 1 [Source:HGNC Symbol;Acc:12950]	Homo sapiens	KHx1; Znf_CCHCx1	1	3
SF3A1	ENSG00000099995	SF3a120; SAP114; PRPF21; Prp21	"splicing factor 3a, subunit 1, 120kDa [Source:HGNC Symbol;Acc:10765]"	Homo sapiens	SURPx2	0	3
SF3B4	ENSG00000143368	SAP49; SF3b49; Hsh49	"splicing factor 3b, subunit 4, 49kDa [Source:HGNC Symbol;Acc:10771]"	Homo sapiens	RRMx2	0	3
SF4	ENSG00000105705	F23858; DKFZp434E2216; RBP	splicing factor 4 [Source:HGNC Symbol;Acc:18643]	Homo sapiens	SURPx2	0	1
SFMBT2	ENSG00000198879	KIAA1617	Scm-like with four mbt domains 2 [Source:HGNC Symbol;Acc:20256]	Homo sapiens	RRMx1	0	1
SFPQ	ENSG00000116560	PSF	splicing factor proline/glutamine-rich (polypyrimidine tract binding protein associated) [Source:HGNC Symbol;Acc:10774]	Homo sapiens	RRMx2	7	8
SFRS1	ENSG00000136450	ASF; SF2; SRp30a; SF2p33; MGC5228	"splicing factor, arginine/serine-rich 1 [Source:HGNC Symbol;Acc:10780]"	Homo sapiens	RRMx2	32	4
SFRS11	ENSG00000116754	p54; NET2	"splicing factor, arginine/serine-rich 11 [Source:HGNC Symbol;Acc:10782]"	Homo sapiens	RRMx1	0	5
SFRS12	ENSG00000153914	DKFZp564B176; SRrp86; SRrp508	"splicing factor, arginine/serine-rich 12 [Source:HGNC Symbol;Acc:17882]"	Homo sapiens	RRMx2	0	5
SFRS13A	ENSG00000188529	TASR1; TASR2; SRp38; SRrp40; SFRS13; FUSIP1; FUSIP2	"splicing factor, arginine/serine-rich 13A [Source:HGNC Symbol;Acc:16713]"	Homo sapiens	RRMx1	3	2
SFRS13B	ENSG00000154548	SRrp35; SFRS19	"splicing factor, arginine/serine-rich 13B [Source:HGNC Symbol;Acc:21220]"	Homo sapiens	RRMx1	0	1
SFRS14	ENSG00000064607	KIAA0365	"splicing factor, arginine/serine-rich 14 [Source:HGNC Symbol;Acc:18641]"	Homo sapiens	SURPx2	0	1
SFRS15	ENSG00000156304	KIAA1172; DKFZp434E098; SRA4; SCAF4	"splicing factor, arginine/serine-rich 15 [Source:HGNC Symbol;Acc:19304]"	Homo sapiens	RRMx1	0	5
SFRS16	ENSG00000104859	SWAP2; CLASP	"splicing factor, arginine/serine-rich 16 [Source:HGNC Symbol;Acc:17731]"	Homo sapiens		0	2
SFRS2	ENSG00000161547	SC-35; SC35; PR264; SFRS2A	"splicing factor, arginine/serine-rich 2 [Source:HGNC Symbol;Acc:10783]"	Homo sapiens	RRMx1	14	4
SFRS2B	ENSG00000180771	SRP46	"splicing factor, arginine/serine-rich 2B [Source:HGNC Symbol;Acc:16988]"	Homo sapiens	RRMx1	0	0
SFRS3	ENSG00000112081	SRp20	"splicing factor, arginine/serine-rich 3 [Source:HGNC Symbol;Acc:10785]"	Homo sapiens	RRMx1	7	3
SFRS4	ENSG00000116350	SRP75	"splicing factor, arginine/serine-rich 4 [Source:HGNC Symbol;Acc:10786]"	Homo sapiens	RRMx2	3	6
SFRS5	ENSG00000100650	SRP40; HRS	"splicing factor, arginine/serine-rich 5 [Source:HGNC Symbol;Acc:10787]"	Homo sapiens	RRMx2	7	4
SFRS6	ENSG00000124193	SRP55; B52	"splicing factor, arginine/serine-rich 6 [Source:HGNC Symbol;Acc:10788]"	Homo sapiens	RRMx2	2	6
SFRS7	ENSG00000115875	9G8; ZCRB2; HSSG1; AAG3; RBM37; ZCCHC20	"splicing factor, arginine/serine-rich 7, 35kDa [Source:HGNC Symbol;Acc:10789]"	Homo sapiens	RRMx1; Znf_CCHCx1	9	4
SFRS8	ENSG00000061936	SWAP	"splicing factor, arginine/serine-rich 8 (suppressor-of-white-apricot homolog, Drosophila) [Source:HGNC Symbol;Acc:10790]"	Homo sapiens	SURPx2	0	3
SFRS9	ENSG00000111786	SRp30c	"splicing factor, arginine/serine-rich 9 [Source:HGNC Symbol;Acc:10791]"	Homo sapiens	RRMx2	9	3
SLBP	ENSG00000163950	HBP	stem-loop binding protein [Source:HGNC Symbol;Acc:10904]	Homo sapiens		16	2
SLTM	ENSG00000137776	Met; FLJ13213	"SAFB-like, transcription modulator [Source:HGNC Symbol;Acc:20709]"	Homo sapiens	RRMx1	1	7
SNRNP35	ENSG00000184209	U1SNRNPBP	small nuclear ribonucleoprotein 35kDa (U11/U12) [Source:HGNC Symbol;Acc:30852]	Homo sapiens	RRMx1	0	1
SNRNP70	ENSG00000104852	U1-70K; Snp1	small nuclear ribonucleoprotein 70kDa (U1) [Source:HGNC Symbol;Acc:11150]	Homo sapiens	RRMx1	1	3
SNRPA	ENSG00000077312	U1A; U1-A; Mud1	small nuclear ribonucleoprotein polypeptide A [Source:HGNC Symbol;Acc:11151]	Homo sapiens	RRMx2	33	2
SNRPB	ENSG00000125835	COD; SmB/SmB'; Sm-B/B'; snRNP-B	small nuclear ribonucleoprotein polypeptides B and B1 [Source:HGNC Symbol;Acc:11153]	Homo sapiens	LSmx1	2	5
SNRPB2	ENSG00000125870	Msl1	small nuclear ribonucleoprotein polypeptide B'' [Source:HGNC Symbol;Acc:11155]	Homo sapiens	RRMx2	2	3
SNRPC	ENSG00000124562		small nuclear ribonucleoprotein polypeptide C [Source:HGNC Symbol;Acc:11157]	Homo sapiens	Znf_C2H2x1	0	2
SNRPD1	ENSG00000167088	HsT2456; Sm-D1	small nuclear ribonucleoprotein D1 polypeptide 16kDa [Source:HGNC Symbol;Acc:11158]	Homo sapiens	LSmx1	0	3
SNRPD2	ENSG00000125743	Sm-D2	small nuclear ribonucleoprotein D2 polypeptide 16.5kDa [Source:HGNC Symbol;Acc:11159]	Homo sapiens	LSmx1	0	3
SNRPD3	ENSG00000100028	SMD3; Sm-D3	small nuclear ribonucleoprotein D3 polypeptide 18kDa [Source:HGNC Symbol;Acc:11160]	Homo sapiens	Lsmx1	0	3
SNRPE	ENSG00000182004	Sm-E	small nuclear ribonucleoprotein polypeptide E [Source:HGNC Symbol;Acc:11161]	Homo sapiens	LSmx1	0	2
SNRPEL1	ENSG00000227624	bA390F4.4	small nuclear ribonucleoprotein polypeptide E-like 1 [Source:HGNC Symbol;Acc:20733]	Homo sapiens	LSmx1	0	0
SNRPF	ENSG00000139343	Sm-F	small nuclear ribonucleoprotein polypeptide F [Source:HGNC Symbol;Acc:11162]	Homo sapiens	LSmx1	0	3
SNRPG	ENSG00000143977	Sm-G	small nuclear ribonucleoprotein polypeptide G [Source:HGNC Symbol;Acc:11163]	Homo sapiens	LSmx1	0	3
SNRPN	ENSG00000128739	SMN; SM-D; HCERN3; SNRNP-N; SNURF-SNRPN; RT-LI	small nuclear ribonucleoprotein polypeptide N [Source:HGNC Symbol;Acc:11164]	Homo sapiens	LSmx1	0	5
