ensg	name	loc	tss_loc	strand	CD
ENSG00000078081	LAMP3	chr3:182840001-182881627	chr3:182881627-182881627	-1	CD208
ENSG00000169575	VPREB1	chr22:22599087-22599927	chr22:22599087-22599087	1	CD179a
ENSG00000164342	TLR3	chr4:186990306-187006255	chr4:186990306-186990306	1	CD283
ENSG00000136732	GYPC	chr2:127413509-127454246	chr2:127413509-127413509	1	CD236
ENSG00000178726	THBD	chr20:23026270-23030378	chr20:23030378-23030378	-1	CD141
ENSG00000116815	CD58	chr1:117057157-117113661	chr1:117113661-117113661	-1	CD58
ENSG00000197993	KEL	chr7:142638201-142659768	chr7:142659768-142659768	-1	CD238
ENSG00000038945	MSR1	chr8:15965387-16424999	chr8:16424999-16424999	-1	CD204
ENSG00000141736	ERBB2	chr17:37844167-37886679	chr17:37844167-37844167	1	CD340
ENSG00000111796	KLRB1	chr12:9747147-9760482	chr12:9760482-9760482	-1	CD161
ENSG00000174123	TLR10	chr4:38773860-38784611	chr4:38784611-38784611	-1	CD290
ENSG00000163600	ICOS	chr2:204801471-204826300	chr2:204801471-204801471	1	CD278
ENSG00000169704	GP9	chr3:128779610-128781249	chr3:128779610-128779610	1	CD42a
ENSG00000100368	CSF2RB	chr22:37309670-37336491	chr22:37309670-37309670	1	CD131
ENSG00000185885	IFITM1	chr11:313506-315272	chr11:313506-313506	1	CD225
ENSG00000158485	CD1B	chr1:158297741-158301321	chr1:158301321-158301321	-1	CD1b
ENSG00000158481	CD1C	chr1:158259576-158263420	chr1:158259576-158259576	1	CD1c
ENSG00000076662	ICAM3	chr19:10444452-10450499	chr19:10450499-10450499	-1	CD50
ENSG00000158488	CD1E	chr1:158323254-158327343	chr1:158323254-158323254	1	CD1e
ENSG00000189013	KIR2DL4	chr19:55236002-55325972	chr19:55236002-55236002	1	CD158D
ENSG00000186152	LILRP1	chr19:55208383-55212683	chr19:55208383-55208383	1	CD85L
ENSG00000203618	GP1BB	chr22:19710468-19712294	chr22:19710468-19710468	1	CD42c
ENSG00000117560	FASLG	chr1:172628154-172636014	chr1:172628154-172628154	1	CD178
ENSG00000104921	FCER2	chr19:7753644-7767032	chr19:7767032-7767032	-1	CD23
ENSG00000197081	IGF2R	chr6:160390131-160534539	chr6:160390131-160390131	1	CD222
ENSG00000204936	CD177	chr19:43857811-43867480	chr19:43857811-43857811	1	CD177
ENSG00000188763	FZD9	chr7:72848109-72850450	chr7:72848109-72848109	1	CD349
ENSG00000121807	CCR2	chr3:46395225-46402419	chr3:46395225-46395225	1	CD192
ENSG00000026751	SLAMF7	chr1:160709037-160724611	chr1:160709037-160709037	1	CD319
ENSG00000149294	NCAM1	chr11:112831997-113149158	chr11:112831997-112831997	1	CD56
ENSG00000205809	KLRC2	chr12:10579453-10594899	chr12:10594899-10594899	-1	CD159c
ENSG00000162733	DDR2	chr1:162601163-162750237	chr1:162601163-162601163	1	CD167b
ENSG00000177697	CD151	chr11:832843-839831	chr11:832843-832843	1	CD151
ENSG00000171105	INSR	chr19:7112266-7294045	chr19:7294045-7294045	-1	CD220
ENSG00000170458	CD14	chr5:140011313-140013286	chr5:140013286-140013286	-1	CD14
ENSG00000117281	CD160	chr1:145695798-145715614	chr1:145715614-145715614	-1	CD160
ENSG00000244682	FCGR2C	chr1:161551129-161575452	chr1:161551129-161551129	1	CD32c
ENSG00000241399	CD302	chr2:160625364-160654753	chr2:160654753-160654753	-1	CD302
ENSG00000107779	BMPR1A	chr10:88516407-88684945	chr10:88516407-88516407	1	CD292
ENSG00000125498	KIR2DL1	chr19:55281263-55295774	chr19:55281263-55281263	1	CD158A
ENSG00000186431	FCAR	chr19:55385704-55401838	chr19:55385704-55385704	1	CD89
ENSG00000011028	MRC2	chr17:60704762-60770958	chr17:60704762-60704762	1	CD280
ENSG00000137101	CD72	chr9:35609530-35646807	chr9:35646807-35646807	-1	CD72
ENSG00000196371	FUT4	chr11:94277017-94283063	chr11:94277017-94277017	1	CD15
