ensg	name	CD	enst	loc	tss_loc	strand	type	gc
ENSMUSG00000039062	Anpep	CD13	ENSMUST00000049004	chr7:79821804-79842352	chr7:79842352-79842352	-1	protein_coding	52.57159555815313
ENSMUSG00000049551	Fzd9	CD349	ENSMUST00000062572	chr5:135248938-135251230	chr5:135251230-135251230	-1	protein_coding	62.18927169646751
ENSMUSG00000044827	Tlr1	CD281	ENSMUST00000059349	chr5:64924680-64932761	chr5:64932761-64932761	-1	protein_coding	44.26877470355731
ENSMUSG00000025510	Cd151	CD151	ENSMUST00000058746	chr7:141468822-141471472	chr7:141468822-141468822	1	protein_coding	53.73687461395923
ENSMUSG00000051839	Gypa	CD235a	ENSMUST00000063359	chr8:80493781-80510542	chr8:80493781-80493781	1	protein_coding	41.01731601731602
ENSMUSG00000024610	Cd74	CD74	ENSMUST00000050487	chr18:60803848-60812646	chr18:60803848-60803848	1	protein_coding	56.075533661740565
ENSMUSG00000049103	Ccr2	CD192	ENSMUST00000055918	chr9:124102183-124108550	chr9:124102183-124102183	1	protein_coding	38.61287095698566
ENSMUSG00000052736	Klrc2	CD159c	ENSMUST00000071920	chr6:129649537-129660689	chr6:129660689-129660689	-1	protein_coding	43.35154826958106
ENSMUSG00000048521	Cxcr6	CD186	ENSMUST00000049810	chr9:123806475-123811756	chr9:123806475-123806475	1	protein_coding	43.06800210859251
ENSMUSG00000052013	Btla	CD272	ENSMUST00000063654	chr16:45224337-45251258	chr16:45224337-45224337	1	protein_coding	41.80225281602002
ENSMUSG00000042262	Ccr8	CDw198	ENSMUST00000048777	chr9:120092114-120094906	chr9:120092114-120092114	1	protein_coding	53.276595744680854
ENSMUSG00000023175	Bsg	CD147	ENSMUST00000067036	chr10:79704500-79711895	chr10:79704500-79704500	1	protein_coding	57.601572739187425
ENSMUSG00000055541	Lair1	CD305	ENSMUST00000068865	chr7:4003402-4063179	chr7:4063179-4063179	-1	protein_coding	43.4680726420621
ENSMUSG00000048031	Fcrl5	CD307	ENSMUST00000049926	chr3:87435885-87457836	chr3:87435885-87435885	1	protein_coding	47.68285873813512
ENSMUSG00000053977	Cd8a	CD8a	ENSMUST00000066747	chr6:71373427-71379169	chr6:71373427-71373427	1	protein_coding	47.21867007672634
ENSMUSG00000042817	Flt3	CD135	ENSMUST00000049324	chr5:147330741-147400489	chr5:147400489-147400489	-1	protein_coding	50.69729286300246
ENSMUSG00000015533	Itga2	CD49b	ENSMUST00000056117	chr13:114833081-114932100	chr13:114932100-114932100	-1	protein_coding	43.683173888576256
ENSMUSG00000020717	Pecam1	CD31	ENSMUST00000068021	chr11:106661797-106750628	chr11:106750628-106750628	-1	protein_coding	49.815250251931474
ENSMUSG00000052593	Adam17	CD156b	ENSMUST00000064536	chr12:21323517-21373632	chr12:21373632-21373632	-1	protein_coding	45.28471753319829
ENSMUSG00000030786	Itgam	CD11b	ENSMUST00000064821	chr7:128062640-128118491	chr7:128062640-128062640	1	protein_coding	48.91072191371209
ENSMUSG00000051457	Spn	CD43	ENSMUST00000049931	chr7:127133702-127137823	chr7:127137823-127137823	-1	protein_coding	53.16590969810313
ENSMUSG00000062312	Erbb2	CD340	ENSMUST00000058295	chr11:98412470-98437716	chr11:98412470-98412470	1	protein_coding	57.302474062250596
ENSMUSG00000047953	Gp5	CD42d	ENSMUST00000061190	chr16:30307685-30310779	chr16:30310779-30310779	-1	protein_coding	59.262630860264
ENSMUSG00000057439	Kir3dl2	CD158K	ENSMUST00000072125	chrX:136448107-136469041	chrX:136469041-136469041	-1	protein_coding	42.04152249134948
ENSMUSG00000058728	Cd300c	CD300C	ENSMUST00000061637	chr11:114956278-114960417	chr11:114960417-114960417	-1	protein_coding	51.449275362318836
ENSMUSG00000054263	Lifr	CD118	ENSMUST00000067190	chr15:7129559-7191743	chr15:7129559-7129559	1	protein_coding	48.99831040308955
ENSMUSG00000006386	Tek	CD202b	ENSMUST00000071168	chr4:94739518-94874682	chr4:94739518-94739518	1	protein_coding	47.509578544061306
ENSMUSG00000038304	Cd160	CD160	ENSMUST00000047702	chr3:96800155-96814521	chr3:96814521-96814521	-1	protein_coding	49.95539696699375
ENSMUSG00000040522	Tlr8	CD288	ENSMUST00000049023	chrX:167242732-167263788	chrX:167263788-167263788	-1	protein_coding	39.83533882203927
ENSMUSG00000040249	Lrp1	CD91	ENSMUST00000049149	chr10:127538161-127621148	chr10:127621148-127621148	-1	protein_coding	57.88554540569586
ENSMUSG00000045322	Tlr9	CD289	ENSMUST00000062241	chr9:106222598-106226883	chr9:106222598-106222598	1	protein_coding	56.210465784933874
ENSMUSG00000068227	Il2rb	CD122	ENSMUST00000089398	chr15:78479256-78495271	chr15:78495271-78495271	-1	protein_coding	53.934191702432045
ENSMUSG00000005534	Insr	CD220	ENSMUST00000091291	chr8:3150922-3279617	chr8:3279617-3279617	-1	protein_coding	46.79850347407803
ENSMUSG00000008789	Ceacam5	CD66e	ENSMUST00000081907	chr7:17713238-17761132	chr7:17713238-17713238	1	protein_coding	43.1408493736633
ENSMUSG00000059326	Csf2ra	CD116	ENSMUST00000076046	chr19:61224402-61228418	chr19:61228418-61228418	-1	protein_coding	61.54678204434829
ENSMUSG00000046186	Cd109	CD109	ENSMUST00000093812	chr9:78615546-78716253	chr9:78615546-78615546	1	protein_coding	44.77815699658703
ENSMUSG00000059305	Vpreb1	CD179a	ENSMUST00000075017	chr16:16868403-16869255	chr16:16869255-16869255	-1	protein_coding	55.483028720626635
ENSMUSG00000040899	Ccr6	CD196	ENSMUST00000097418	chr17:8242526-8257127	chr17:8242526-8242526	1	protein_coding	50.541310541310544
ENSMUSG00000055471	Alk	CD246	ENSMUST00000086639	chr17:71868972-72603827	chr17:72603827-72603827	-1	protein_coding	57.040704070407045
ENSMUSG00000002944	Cd36	CD36	ENSMUST00000082367	chr5:17782016-17835696	chr5:17835696-17835696	-1	protein_coding	37.6657824933687
ENSMUSG00000037405	Icam1	CD54	ENSMUST00000086399	chr9:21015985-21028817	chr9:21015985-21015985	1	protein_coding	55.38461538461539
ENSMUSG00000068105	Tnfrsf13c	CD268	ENSMUST00000089161	chr15:82221743-82224353	chr15:82224353-82224353	-1	protein_coding	50.62370062370062
ENSMUSG00000058254	Tspan7	CD231	ENSMUST00000076354	chrX:10485158-10596605	chrX:10485158-10485158	1	protein_coding	48.52856318522793
ENSMUSG00000079227	Ccr5	CD195	ENSMUST00000097855	chr9:124128748-124147699	chr9:124128748-124128748	1	protein_coding	38.97550111358575
ENSMUSG00000025809	Itgb1	CD29	ENSMUST00000090006	chr8:128685654-128733200	chr8:128685654-128685654	1	protein_coding	44.84927916120577
ENSMUSG00000041247	Lamp3	CD208	ENSMUST00000081880	chr16:19653378-19706375	chr16:19706375-19706375	-1	protein_coding	38.73659117997616
ENSMUSG00000055447	Cd47	CD47	ENSMUST00000084838	chr16:49855645-49915010	chr16:49855645-49855645	1	protein_coding	42.22857142857143
ENSMUSG00000068758	Il3ra	CD123	ENSMUST00000090591	chr14:14346275-14355490	chr14:14346275-14346275	1	protein_coding	65.86121437422553
ENSMUSG00000022901	Cd86	CD86	ENSMUST00000089620	chr16:36603869-36666077	chr16:36666077-36666077	-1	protein_coding	43.20598660890114
ENSMUSG00000071713	Csf2rb	CD131	ENSMUST00000096355	chr15:78325990-78351000	chr15:78325990-78325990	1	protein_coding	53.841309823677584
ENSMUSG00000026070	Il18r1	CD218a	ENSMUST00000087983	chr1:40466006-40500833	chr1:40466006-40466006	1	protein_coding	44.5859872611465
ENSMUSG00000031565	Fgfr1	CD331	ENSMUST00000084027	chr8:25518759-25575718	chr8:25518759-25518759	1	protein_coding	55.38308457711443
ENSMUSG00000079037	Prnp	CD230	ENSMUST00000091288	chr2:131909928-131938429	chr2:131909928-131909928	1	protein_coding	49.72527472527473
ENSMUSG00000074272	Ceacam1	CD66a	ENSMUST00000098668	chr7:25463329-25477534	chr7:25477534-25477534	-1	protein_coding	48.6468200270636
ENSMUSG00000034664	Itga2b	CD41	ENSMUST00000103086	chr11:102453297-102469883	chr11:102469883-102469883	-1	protein_coding	58.16118708175735
ENSMUSG00000053062	Jam2	CD322	ENSMUST00000098407	chr16:84774386-84810996	chr16:84774386-84774386	1	protein_coding	43.34334334334334
ENSMUSG00000048163	Selplg	CD162	ENSMUST00000100874	chr5:113818547-113830501	chr5:113830501-113830501	-1	protein_coding	58.59838274932615
ENSMUSG00000027435	Cd93	CD93	ENSMUST00000099269	chr2:148436640-148443563	chr2:148443563-148443563	-1	protein_coding	47.31166691627976
ENSMUSG00000027009	Itga4	CD49d	ENSMUST00000099972	chr2:79255500-79333123	chr2:79255500-79255500	1	protein_coding	41.10781202006758
ENSMUSG00000075370	Igll1	CD179b	ENSMUST00000100136	chr16:16860671-16863985	chr16:16863985-16863985	-1	protein_coding	51.37931034482759
ENSMUSG00000075122	Cd80	CD80	ENSMUST00000099816	chr16:38458933-38486933	chr16:38458933-38458933	1	protein_coding	45.97295708406819
ENSMUSG00000028412	Slc44a1	CD92	ENSMUST00000107647	chr4:53440684-53563450	chr4:53440684-53440684	1	protein_coding	48.713235294117645
ENSMUSG00000053228	Ceacam3	CD66d	ENSMUST00000108491	chr7:17150282-17164253	chr7:17150282-17150282	1	protein_coding	46.24348359398957
ENSMUSG00000032093	Cd3e	CD3e	ENSMUST00000102832	chr9:44998740-45009613	chr9:45009613-45009613	-1	protein_coding	50.54719562243503
ENSMUSG00000037944	Ccr7	CD197	ENSMUST00000103134	chr11:99144196-99155077	chr11:99155077-99155077	-1	protein_coding	53.48837209302325
ENSMUSG00000027864	Ptgfrn	CD315	ENSMUST00000102694	chr3:101040232-101110278	chr3:101110278-101110278	-1	protein_coding	54.38834293459844
ENSMUSG00000029082	Bst1	CD157	ENSMUST00000101237	chr5:43818891-43843986	chr5:43818891-43818891	1	protein_coding	43.8375350140056
ENSMUSG00000074743	Thbd	CD141	ENSMUST00000099270	chr2:148404466-148408188	chr2:148408188-148408188	-1	protein_coding	51.35643298415257
ENSMUSG00000030830	Itgal	CD11a	ENSMUST00000106306	chr7:127296291-127335138	chr7:127296291-127296291	1	protein_coding	53.1665062560154
ENSMUSG00000074785	Plxnc1	CD232	ENSMUST00000099337	chr10:94790866-94944835	chr10:94944835-94944835	-1	protein_coding	49.260476581758425
ENSMUSG00000038179	Slamf7	CD319	ENSMUST00000111276	chr1:171634925-171649007	chr1:171649007-171649007	-1	protein_coding	46.85767097966728
ENSMUSG00000062960	Kdr	CD309	ENSMUST00000113516	chr5:75932827-75978458	chr5:75978458-75978458	-1	protein_coding	49.44294395678595
ENSMUSG00000039542	Ncam1	CD56	ENSMUST00000114476	chr9:49517278-49798890	chr9:49798890-49798890	-1	protein_coding	53.83716400467472
ENSMUSG00000026395	Ptprc	CD45	ENSMUST00000112036	chr1:138062861-138116441	chr1:138116441-138116441	-1	protein_coding	39.42508710801394
ENSMUSG00000025314	Ptprj	CD148	ENSMUST00000111495	chr2:90429756-90479170	chr2:90479170-90479170	-1	protein_coding	48.081963307124134
ENSMUSG00000032011	Thy1	CD90	ENSMUST00000114840	chr9:44043384-44048579	chr9:44043384-44043384	1	protein_coding	55.792507204610956
ENSMUSG00000031424	Kir3dl1	CD158E1	ENSMUST00000113104	chrX:136517999-136534061	chrX:136517999-136517999	1	protein_coding	45.780795344325895
ENSMUSG00000029530	Ccr9	CDw199	ENSMUST00000111454	chr9:123767227-123781772	chr9:123767227-123767227	1	protein_coding	45.49618320610687
ENSMUSG00000048120	Entpd1	CD39	ENSMUST00000112231	chr19:40659770-40741602	chr19:40659770-40659770	1	protein_coding	44.7287372660507
ENSMUSG00000030849	Fgfr2	CD332	ENSMUST00000117089	chr7:130163959-130261857	chr7:130261857-130261857	-1	protein_coding	52.212748680470966
ENSMUSG00000081683	Fzd10	CD350	ENSMUST00000117102	chr5:128600844-128604093	chr5:128600844-128600844	1	protein_coding	56.52307692307692
ENSMUSG00000079299	Klrb1	CD161	ENSMUST00000112110	chr6:128706442-128723059	chr6:128723059-128723059	-1	protein_coding	43.92265193370166
ENSMUSG00000016498	Pdcd1lg2	CD273	ENSMUST00000112576	chr19:29410919-29471157	chr19:29410919-29410919	1	protein_coding	49.24012158054711
ENSMUSG00000026580	Selp	CD62P	ENSMUST00000160000	chr1:164141318-164142792	chr1:164141318-164141318	1	protein_coding	51.32743362831859
ENSMUSG00000005364	Il5ra	CD125	ENSMUST00000167925	chr6:106711975-106745109	chr6:106745109-106745109	-1	protein_coding	44.60093896713615
ENSMUSG00000024673	Ms4a1	CD20	ENSMUST00000169159	chr19:11249675-11266241	chr19:11266241-11266241	-1	protein_coding	40.58536585365854
ENSMUSG00000090523	Gypc	CD236	ENSMUST00000172434	chr18:32529792-32535418	chr18:32535418-32535418	-1	protein_coding	55.06535947712419
